d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;17.9232
0;0;0;0;0;0;3.08989
0;0;0;0;0;0;22.5793
0;0;0;0;0;0;8.96123
0;0;0;0;0;0;10.755
0;0;0;0;0;0;16.781
3.14159;0;0;0;0;0;18.8888
3.14159;0;0;0;0;0;3.02234
3.14159;0;0;0;0;0;22.504
3.14159;0;0;0;0;0;8.97304
3.14159;0;0;0;0;0;13.9989
3.14159;0;0;0;0;0;16.3058
0;3.14159;0;0;0;0;22.0552
0;3.14159;0;0;0;0;6.75051
0;3.14159;0;0;0;0;9.53261
0;3.14159;0;0;0;0;8.86389
0;3.14159;0;0;0;0;10.8829
0;3.14159;0;0;0;0;17.4423
0;0;3.14159;0;0;0;18.8497
0;0;3.14159;0;0;0;3.21948
0;0;3.14159;0;0;0;23.3765
0;0;3.14159;0;0;0;8.83358
0;0;3.14159;0;0;0;10.6508
0;0;3.14159;0;0;0;16.9449
0;0;0;3.14159;0;0;17.9232
0;0;0;3.14159;0;0;3.08899
0;0;0;3.14159;0;0;22.5793
0;0;0;3.14159;0;0;8.96123
0;0;0;3.14159;0;0;10.755
0;0;0;3.14159;0;0;16.781
0;0;0;0;3.14159;0;17.9232
0;0;0;0;3.14159;0;3.11105
0;0;0;0;3.14159;0;22.5793
0;0;0;0;3.14159;0;8.9392
0;0;0;0;3.14159;0;10.7581
0;0;0;0;3.14159;0;16.7896
0;0;0;0;0;3.14159;17.9232
0;0;0;0;0;3.14159;3.08989
0;0;0;0;0;3.14159;22.5793
0;0;0;0;0;3.14159;8.94694
0;0;0;0;0;3.14159;10.755
0;0;0;0;0;3.14159;16.7709
-11.3405;1.97361;-57.7555;-13152.4;-1040.04;4066.48;11.9313
-11.3405;1.97361;-57.7555;-13152.4;-1040.04;4066.48;8.97442
-11.3405;1.97361;-57.7555;-13152.4;-1040.04;4066.48;5.61285
-11.3405;1.97361;-57.7555;-13152.4;-1040.04;4066.48;10.1831
-11.3405;1.97361;-57.7555;-13152.4;-1040.04;4066.48;15.1639
-11.3405;1.97361;-57.7555;-13152.4;-1040.04;4066.48;9.66369
8.76001;1.97361;-57.7555;-13152.4;-1040.04;4066.48;10.5377
