d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;5.69105
0;0;0;0;0;0;2.24641
0;0;0;0;0;0;1.88984
0;0;0;0;0;0;14.2767
0;0;0;0;0;0;2.68366
0;0;0;0;0;0;4.25889
3.14159;0;0;0;0;0;5.07153
3.14159;0;0;0;0;0;2.21984
3.14159;0;0;0;0;0;1.84603
3.14159;0;0;0;0;0;15.1565
3.14159;0;0;0;0;0;2.44562
3.14159;0;0;0;0;0;4.30327
0;3.14159;0;0;0;0;4.84398
0;3.14159;0;0;0;0;2.33646
0;3.14159;0;0;0;0;1.86417
0;3.14159;0;0;0;0;13.5896
0;3.14159;0;0;0;0;1.82257
0;3.14159;0;0;0;0;4.28305
0;0;3.14159;0;0;0;4.77718
0;0;3.14159;0;0;0;2.3442
0;0;3.14159;0;0;0;1.88943
0;0;3.14159;0;0;0;13.5005
0;0;3.14159;0;0;0;2.06147
0;0;3.14159;0;0;0;4.30383
0;0;0;3.14159;0;0;5.69105
0;0;0;3.14159;0;0;2.24641
0;0;0;3.14159;0;0;1.88984
0;0;0;3.14159;0;0;14.2767
0;0;0;3.14159;0;0;2.68357
0;0;0;3.14159;0;0;4.25889
0;0;0;0;3.14159;0;5.69105
0;0;0;0;3.14159;0;2.24641
0;0;0;0;3.14159;0;1.88984
0;0;0;0;3.14159;0;14.2767
0;0;0;0;3.14159;0;2.68357
0;0;0;0;3.14159;0;4.25889
0;0;0;0;0;3.14159;5.69105
0;0;0;0;0;3.14159;2.24641
0;0;0;0;0;3.14159;1.88982
0;0;0;0;0;3.14159;14.2767
0;0;0;0;0;3.14159;2.68366
0;0;0;0;0;3.14159;4.25889
-25.4043;182.568;-133.392;-352832;-325014;101428;3.89385
-25.4043;182.568;-133.392;-352832;-325014;101428;1.93335
-25.4043;182.568;-133.392;-352832;-325014;101428;1.72251
-25.4043;182.568;-133.392;-352832;-325014;101428;18.4479
-25.4043;182.568;-133.392;-352832;-325014;101428;2.70247
-25.4043;182.568;-133.392;-352832;-325014;101428;6.06054
-23.1392;75.63;-36.148;-166583;-157873;207934;7.49473
-23.1392;75.63;-36.148;-166583;-157873;207934;4.71189
-23.1392;75.63;-36.148;-166583;-157873;207934;2.10886
-23.1392;75.63;-36.148;-166583;-157873;207934;34.4382
-23.1392;75.63;-36.148;-166583;-157873;207934;2.69848
-23.1392;75.63;-36.148;-166583;-157873;207934;5.83084
-8.72486;7.48693;8.77674;-4060.21;-4076.09;99769.8;3.01247
-8.72486;7.48693;8.77674;-4060.21;-4076.09;99769.8;4.61231
-8.72486;7.48693;8.77674;-4060.21;-4076.09;99769.8;1.40155
-8.72486;7.48693;8.77674;-4060.21;-4076.09;99769.8;35.7098
-8.72486;7.48693;8.77674;-4060.21;-4076.09;99769.8;3.77041
-8.72486;7.48693;8.77674;-4060.21;-4076.09;99769.8;3.22205
-0.650802;0.771925;0.862625;2440.21;2460.41;7458.47;2.57875
-0.650802;0.771925;0.862625;2440.21;2460.41;7458.47;2.24689
-0.650802;0.771925;0.862625;2440.21;2460.41;7458.47;1.8104
-0.650802;0.771925;0.862625;2440.21;2460.41;7458.47;14.3275
-0.650802;0.771925;0.862625;2440.21;2460.41;7458.47;2.2611
-0.650802;0.771925;0.862625;2440.21;2460.41;7458.47;4.30707
2.49079;0.771925;0.862625;2440.21;2460.41;7458.47;2.62409
2.49079;0.771925;0.862625;2440.21;2460.41;7458.47;2.3358
2.49079;0.771925;0.862625;2440.21;2460.41;7458.47;1.80418
2.49079;0.771925;0.862625;2440.21;2460.41;7458.47;14.2669
2.49079;0.771925;0.862625;2440.21;2460.41;7458.47;2.27732
2.49079;0.771925;0.862625;2440.21;2460.41;7458.47;4.32657
-0.650802;3.91352;0.862625;2440.21;2460.41;7458.47;3.0307
-0.650802;3.91352;0.862625;2440.21;2460.41;7458.47;2.34153
-0.650802;3.91352;0.862625;2440.21;2460.41;7458.47;1.81633
-0.650802;3.91352;0.862625;2440.21;2460.41;7458.47;14.2103
-0.650802;3.91352;0.862625;2440.21;2460.41;7458.47;2.43483
-0.650802;3.91352;0.862625;2440.21;2460.41;7458.47;4.21691
-0.650802;0.771925;4.00422;2440.21;2460.41;7458.47;3.08619
-0.650802;0.771925;4.00422;2440.21;2460.41;7458.47;2.29763
-0.650802;0.771925;4.00422;2440.21;2460.41;7458.47;1.758
-0.650802;0.771925;4.00422;2440.21;2460.41;7458.47;11.81
-0.650802;0.771925;4.00422;2440.21;2460.41;7458.47;2.28005
-0.650802;0.771925;4.00422;2440.21;2460.41;7458.47;4.16026
-0.650802;0.771925;0.862625;6765.38;2460.41;7458.47;3.39082
-0.650802;0.771925;0.862625;6765.38;2460.41;7458.47;2.33317
-0.650802;0.771925;0.862625;6765.38;2460.41;7458.47;1.84839
-0.650802;0.771925;0.862625;6765.38;2460.41;7458.47;15.1224
-0.650802;0.771925;0.862625;6765.38;2460.41;7458.47;2.42891
-0.650802;0.771925;0.862625;6765.38;2460.41;7458.47;4.26882
-0.650802;0.771925;0.862625;2440.21;6821.39;7458.47;2.59954
-0.650802;0.771925;0.862625;2440.21;6821.39;7458.47;2.30911
-0.650802;0.771925;0.862625;2440.21;6821.39;7458.47;1.84086
-0.650802;0.771925;0.862625;2440.21;6821.39;7458.47;14.3788
-0.650802;0.771925;0.862625;2440.21;6821.39;7458.47;2.41376
