d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;0.896138
0;0;0;0;0;0;0.517284
0;0;0;0;0;0;0.475214
0;0;0;0;0;0;1.39779
0;0;0;0;0;0;1.63531
0;0;0;0;0;0;2.13665
3.14159;0;0;0;0;0;0.896137
3.14159;0;0;0;0;0;0.517287
3.14159;0;0;0;0;0;0.475213
3.14159;0;0;0;0;0;1.39778
3.14159;0;0;0;0;0;1.63531
3.14159;0;0;0;0;0;2.13665
0;3.14159;0;0;0;0;0.896137
0;3.14159;0;0;0;0;0.517285
0;3.14159;0;0;0;0;0.475213
0;3.14159;0;0;0;0;1.39779
0;3.14159;0;0;0;0;1.63531
0;3.14159;0;0;0;0;2.13665
0;0;3.14159;0;0;0;0.896137
0;0;3.14159;0;0;0;0.517275
0;0;3.14159;0;0;0;0.475216
0;0;3.14159;0;0;0;1.39773
0;0;3.14159;0;0;0;1.6353
0;0;3.14159;0;0;0;2.13665
0;0;0;3.14159;0;0;0.896138
0;0;0;3.14159;0;0;0.517284
0;0;0;3.14159;0;0;0.475214
0;0;0;3.14159;0;0;1.39779
0;0;0;3.14159;0;0;1.63531
0;0;0;3.14159;0;0;2.13665
0;0;0;0;3.14159;0;0.896138
0;0;0;0;3.14159;0;0.517284
0;0;0;0;3.14159;0;0.475214
0;0;0;0;3.14159;0;1.39779
0;0;0;0;3.14159;0;1.63531
0;0;0;0;3.14159;0;2.13665
0;0;0;0;0;3.14159;0.896137
0;0;0;0;0;3.14159;0.517284
0;0;0;0;0;3.14159;0.475214
0;0;0;0;0;3.14159;1.39779
0;0;0;0;0;3.14159;1.63531
0;0;0;0;0;3.14159;2.13665
-2.89479e+006;837505;-329102;2.38392e+007;-1.54738e+007;-816404;0.909031
-2.89479e+006;837505;-329102;2.38392e+007;-1.54738e+007;-816404;0.559055
-2.89479e+006;837505;-329102;2.38392e+007;-1.54738e+007;-816404;0.475158
-2.89479e+006;837505;-329102;2.38392e+007;-1.54738e+007;-816404;1.37954
-2.89479e+006;837505;-329102;2.38392e+007;-1.54738e+007;-816404;1.79851
-2.89479e+006;837505;-329102;2.38392e+007;-1.54738e+007;-816404;2.2937
-1.80644e+006;1.62598e+006;-50611.7;1.25406e+007;-6.64603e+006;115979;0.894404
-1.80644e+006;1.62598e+006;-50611.7;1.25406e+007;-6.64603e+006;115979;0.552967
-1.80644e+006;1.62598e+006;-50611.7;1.25406e+007;-6.64603e+006;115979;0.462872
