d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;2.04024
0;0;0;0;0;0;1.14931
0;0;0;0;0;0;1.33266
0;0;0;0;0;0;2.8026
0;0;0;0;0;0;3.53363
0;0;0;0;0;0;4.36953
3.14159;0;0;0;0;0;2.04277
3.14159;0;0;0;0;0;1.15154
3.14159;0;0;0;0;0;1.33956
3.14159;0;0;0;0;0;2.79171
3.14159;0;0;0;0;0;3.52316
3.14159;0;0;0;0;0;4.39235
0;3.14159;0;0;0;0;2.07467
0;3.14159;0;0;0;0;1.15963
0;3.14159;0;0;0;0;1.34678
0;3.14159;0;0;0;0;2.7942
0;3.14159;0;0;0;0;3.54845
0;3.14159;0;0;0;0;4.37571
0;0;3.14159;0;0;0;2.03623
0;0;3.14159;0;0;0;1.15652
0;0;3.14159;0;0;0;1.3337
0;0;3.14159;0;0;0;2.79924
0;0;3.14159;0;0;0;3.54097
0;0;3.14159;0;0;0;4.34194
0;0;0;3.14159;0;0;2.04024
0;0;0;3.14159;0;0;1.14931
0;0;0;3.14159;0;0;1.33266
0;0;0;3.14159;0;0;2.8021
0;0;0;3.14159;0;0;3.53363
0;0;0;3.14159;0;0;4.36953
0;0;0;0;3.14159;0;2.04116
0;0;0;0;3.14159;0;1.14931
0;0;0;0;3.14159;0;1.33297
0;0;0;0;3.14159;0;2.8031
0;0;0;0;3.14159;0;3.53405
0;0;0;0;3.14159;0;4.36885
0;0;0;0;0;3.14159;2.04024
0;0;0;0;0;3.14159;1.14931
0;0;0;0;0;3.14159;1.33266
0;0;0;0;0;3.14159;2.80285
0;0;0;0;0;3.14159;3.53363
0;0;0;0;0;3.14159;4.3692
-115.832;365.561;-988.043;81946.8;-24478;172111;1.9942
-115.832;365.561;-988.043;81946.8;-24478;172111;1.11749
-115.832;365.561;-988.043;81946.8;-24478;172111;1.29372
-115.832;365.561;-988.043;81946.8;-24478;172111;2.70412
-115.832;365.561;-988.043;81946.8;-24478;172111;3.38678
-115.832;365.561;-988.043;81946.8;-24478;172111;4.22741
89.4748;365.561;-988.043;81946.8;-24478;172111;1.9972
89.4748;365.561;-988.043;81946.8;-24478;172111;1.12042
89.4748;365.561;-988.043;81946.8;-24478;172111;1.29204
89.4748;365.561;-988.043;81946.8;-24478;172111;2.70759
89.4748;365.561;-988.043;81946.8;-24478;172111;3.37215
89.4748;365.561;-988.043;81946.8;-24478;172111;4.2353
-115.832;1013.5;-988.043;81946.8;-24478;172111;2.00246
-115.832;1013.5;-988.043;81946.8;-24478;172111;1.10989
-115.832;1013.5;-988.043;81946.8;-24478;172111;1.30134
-115.832;1013.5;-988.043;81946.8;-24478;172111;2.707
-115.832;1013.5;-988.043;81946.8;-24478;172111;3.38027
-115.832;1013.5;-988.043;81946.8;-24478;172111;4.23918
-115.832;365.561;763.218;81946.8;-24478;172111;1.99415
-115.832;365.561;763.218;81946.8;-24478;172111;1.11299
-115.832;365.561;763.218;81946.8;-24478;172111;1.29675
-115.832;365.561;763.218;81946.8;-24478;172111;2.70223
-115.832;365.561;763.218;81946.8;-24478;172111;3.38963
-115.832;365.561;763.218;81946.8;-24478;172111;4.23473
-115.832;365.561;-988.043;227194;-24478;172111;2.00931
-115.832;365.561;-988.043;227194;-24478;172111;1.15837
-115.832;365.561;-988.043;227194;-24478;172111;1.31231
-115.832;365.561;-988.043;227194;-24478;172111;2.71992
-115.832;365.561;-988.043;227194;-24478;172111;3.42281
-115.832;365.561;-988.043;227194;-24478;172111;4.28915
-115.832;365.561;-988.043;81946.8;18908.2;172111;1.98532
-115.832;365.561;-988.043;81946.8;18908.2;172111;1.09599
-115.832;365.561;-988.043;81946.8;18908.2;172111;1.29832
-115.832;365.561;-988.043;81946.8;18908.2;172111;2.69409
-115.832;365.561;-988.043;81946.8;18908.2;172111;3.35267
-115.832;365.561;-988.043;81946.8;18908.2;172111;4.26301
-115.832;365.561;-988.043;81946.8;-24478;477170;1.99503
-115.832;365.561;-988.043;81946.8;-24478;477170;1.09416
-115.832;365.561;-988.043;81946.8;-24478;477170;1.29155
-115.832;365.561;-988.043;81946.8;-24478;477170;2.70264
-115.832;365.561;-988.043;81946.8;-24478;477170;3.38382
-115.832;365.561;-988.043;81946.8;-24478;477170;4.2645
-119.676;83.7311;-1124.37;-8606.4;-22249;158341;2.04108
-119.676;83.7311;-1124.37;-8606.4;-22249;158341;1.13176
-119.676;83.7311;-1124.37;-8606.4;-22249;158341;1.30877
-119.676;83.7311;-1124.37;-8606.4;-22249;158341;2.7577
-119.676;83.7311;-1124.37;-8606.4;-22249;158341;3.47462
-119.676;83.7311;-1124.37;-8606.4;-22249;158341;4.28225
-117.117;324.73;-1007.8;68819.2;-24159.6;170116;1.99645
-117.117;324.73;-1007.8;68819.2;-24159.6;170116;1.13735
-117.117;324.73;-1007.8;68819.2;-24159.6;170116;1.2901
-117.117;324.73;-1007.8;68819.2;-24159.6;170116;2.70336
-117.117;324.73;-1007.8;68819.2;-24159.6;170116;3.37442
-117.117;324.73;-1007.8;68819.2;-24159.6;170116;4.29081
-115.972;361.473;-990.021;80632.4;-24446.2;171911;2.05234
-115.972;361.473;-990.021;80632.4;-24446.2;171911;1.13829
-115.972;361.473;-990.021;80632.4;-24446.2;171911;1.33094
-115.972;361.473;-990.021;80632.4;-24446.2;171911;2.78568
-115.972;361.473;-990.021;80632.4;-24446.2;171911;3.50096
-115.972;361.473;-990.021;80632.4;-24446.2;171911;4.33306
-115.846;365.152;-988.241;81815.4;-24474.9;172091;2.0044
-115.846;365.152;-988.241;81815.4;-24474.9;172091;1.10997
-115.846;365.152;-988.241;81815.4;-24474.9;172091;1.29704
-115.846;365.152;-988.241;81815.4;-24474.9;172091;2.73839
-115.846;365.152;-988.241;81815.4;-24474.9;172091;3.3955
-115.846;365.152;-988.241;81815.4;-24474.9;172091;4.25981
-115.833;365.52;-988.063;81933.7;-24477.7;172109;2.0133
-115.833;365.52;-988.063;81933.7;-24477.7;172109;1.10866
-115.833;365.52;-988.063;81933.7;-24477.7;172109;1.29486
-115.833;365.52;-988.063;81933.7;-24477.7;172109;2.70892
-115.833;365.52;-988.063;81933.7;-24477.7;172109;3.40741
-115.833;365.52;-988.063;81933.7;-24477.7;172109;4.24934
-115.832;365.557;-988.045;81945.5;-24478;172111;2.04747
-115.832;365.557;-988.045;81945.5;-24478;172111;1.14851
-115.832;365.557;-988.045;81945.5;-24478;172111;1.33783
-115.832;365.557;-988.045;81945.5;-24478;172111;2.78153
-115.832;365.557;-988.045;81945.5;-24478;172111;3.53003
-115.832;365.557;-988.045;81945.5;-24478;172111;4.3666
-115.832;365.56;-988.043;81946.7;-24478;172111;1.99586
-115.832;365.56;-988.043;81946.7;-24478;172111;1.11995
-115.832;365.56;-988.043;81946.7;-24478;172111;1.2846
-115.832;365.56;-988.043;81946.7;-24478;172111;2.70219
-115.832;365.56;-988.043;81946.7;-24478;172111;3.37072
-115.832;365.56;-988.043;81946.7;-24478;172111;4.2528
-115.832;365.561;-988.043;81946.8;-24478;172111;1.99093
-115.832;365.561;-988.043;81946.8;-24478;172111;1.11623
-115.832;365.561;-988.043;81946.8;-24478;172111;1.2915
-115.832;365.561;-988.043;81946.8;-24478;172111;2.70755
-115.832;365.561;-988.043;81946.8;-24478;172111;3.3752
-115.832;365.561;-988.043;81946.8;-24478;172111;4.25197
-115.832;365.561;-988.043;81946.8;-24478;172111;1.99048
-115.832;365.561;-988.043;81946.8;-24478;172111;1.12754
-115.832;365.561;-988.043;81946.8;-24478;172111;1.2882
-115.832;365.561;-988.043;81946.8;-24478;172111;2.70452
-115.832;365.561;-988.043;81946.8;-24478;172111;3.38336
-115.832;365.561;-988.043;81946.8;-24478;172111;4.24015
-115.832;365.561;-988.043;81946.8;-24478;172111;1.99444
-115.832;365.561;-988.043;81946.8;-24478;172111;1.11817
-115.832;365.561;-988.043;81946.8;-24478;172111;1.29341
-115.832;365.561;-988.043;81946.8;-24478;172111;2.70134
-115.832;365.561;-988.043;81946.8;-24478;172111;3.38431
-115.832;365.561;-988.043;81946.8;-24478;172111;4.22759
89.4748;365.561;-988.043;81946.8;-24478;172111;1.99721
89.4748;365.561;-988.043;81946.8;-24478;172111;1.119
89.4748;365.561;-988.043;81946.8;-24478;172111;1.29251
89.4748;365.561;-988.043;81946.8;-24478;172111;2.70441
