d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;10.3914
0;0;0;0;0;0;12.3601
0;0;0;0;0;0;4.76333
0;0;0;0;0;0;4.38064
0;0;0;0;0;0;13.5712
0;0;0;0;0;0;17.9393
3.14159;0;0;0;0;0;12.1113
3.14159;0;0;0;0;0;6.33067
3.14159;0;0;0;0;0;6.77715
3.14159;0;0;0;0;0;4.6377
3.14159;0;0;0;0;0;13.4815
3.14159;0;0;0;0;0;18.0287
0;3.14159;0;0;0;0;12.434
0;3.14159;0;0;0;0;13.5535
0;3.14159;0;0;0;0;4.79348
0;3.14159;0;0;0;0;4.17655
0;3.14159;0;0;0;0;13.7121
0;3.14159;0;0;0;0;17.1755
0;0;3.14159;0;0;0;14.6884
0;0;3.14159;0;0;0;12.5234
0;0;3.14159;0;0;0;4.98968
0;0;3.14159;0;0;0;4.24121
0;0;3.14159;0;0;0;9.3341
0;0;3.14159;0;0;0;17.6959
0;0;0;3.14159;0;0;10.3904
0;0;0;3.14159;0;0;12.3601
0;0;0;3.14159;0;0;4.76333
0;0;0;3.14159;0;0;4.38144
0;0;0;3.14159;0;0;13.5712
0;0;0;3.14159;0;0;17.9393
0;0;0;0;3.14159;0;10.3914
0;0;0;0;3.14159;0;12.2384
0;0;0;0;3.14159;0;4.76329
0;0;0;0;3.14159;0;4.38084
0;0;0;0;3.14159;0;13.5712
0;0;0;0;3.14159;0;17.9393
0;0;0;0;0;3.14159;10.3904
0;0;0;0;0;3.14159;12.2384
0;0;0;0;0;3.14159;4.76329
0;0;0;0;0;3.14159;4.37977
0;0;0;0;0;3.14159;13.5712
0;0;0;0;0;3.14159;17.9393
-18.6479;8.26263;7.20647;25830.5;-855.881;2189.97;17.1589
-18.6479;8.26263;7.20647;25830.5;-855.881;2189.97;1.91066
-18.6479;8.26263;7.20647;25830.5;-855.881;2189.97;4.76233
-18.6479;8.26263;7.20647;25830.5;-855.881;2189.97;6.49901
-18.6479;8.26263;7.20647;25830.5;-855.881;2189.97;6.56175
-18.6479;8.26263;7.20647;25830.5;-855.881;2189.97;12.6869
14.4047;8.26263;7.20647;25830.5;-855.881;2189.97;7.1746
14.4047;8.26263;7.20647;25830.5;-855.881;2189.97;2.06425
14.4047;8.26263;7.20647;25830.5;-855.881;2189.97;4.35954
14.4047;8.26263;7.20647;25830.5;-855.881;2189.97;4.95945
14.4047;8.26263;7.20647;25830.5;-855.881;2189.97;5.819
14.4047;8.26263;7.20647;25830.5;-855.881;2189.97;3.67121
-18.6479;22.9078;7.20647;25830.5;-855.881;2189.97;16.2158
-18.6479;22.9078;7.20647;25830.5;-855.881;2189.97;1.89086
-18.6479;22.9078;7.20647;25830.5;-855.881;2189.97;4.58807
-18.6479;22.9078;7.20647;25830.5;-855.881;2189.97;6.4036
-18.6479;22.9078;7.20647;25830.5;-855.881;2189.97;5.81467
-18.6479;22.9078;7.20647;25830.5;-855.881;2189.97;12.1704
-18.6479;8.26263;19.9796;25830.5;-855.881;2189.97;15.6273
-18.6479;8.26263;19.9796;25830.5;-855.881;2189.97;1.94879
-18.6479;8.26263;19.9796;25830.5;-855.881;2189.97;4.33042
-18.6479;8.26263;19.9796;25830.5;-855.881;2189.97;6.09627
-18.6479;8.26263;19.9796;25830.5;-855.881;2189.97;6.15843
-18.6479;8.26263;19.9796;25830.5;-855.881;2189.97;14.3797
-18.6479;8.26263;7.20647;71614;-855.881;2189.97;8.74849
-18.6479;8.26263;7.20647;71614;-855.881;2189.97;5.71605
-18.6479;8.26263;7.20647;71614;-855.881;2189.97;9.85139
-18.6479;8.26263;7.20647;71614;-855.881;2189.97;4.01698
-18.6479;8.26263;7.20647;71614;-855.881;2189.97;9.15834
-18.6479;8.26263;7.20647;71614;-855.881;2189.97;17.4182
-18.6479;8.26263;7.20647;25830.5;661.128;2189.97;18.2754
-18.6479;8.26263;7.20647;25830.5;661.128;2189.97;7.06772
-18.6479;8.26263;7.20647;25830.5;661.128;2189.97;6.97469
-18.6479;8.26263;7.20647;25830.5;661.128;2189.97;3.30412
-18.6479;8.26263;7.20647;25830.5;661.128;2189.97;4.68235
-18.6479;8.26263;7.20647;25830.5;661.128;2189.97;3.81752
-18.6479;8.26263;7.20647;25830.5;-855.881;6071.6;17.5272
-18.6479;8.26263;7.20647;25830.5;-855.881;6071.6;2.08141
-18.6479;8.26263;7.20647;25830.5;-855.881;6071.6;4.04765
-18.6479;8.26263;7.20647;25830.5;-855.881;6071.6;4.47494
-18.6479;8.26263;7.20647;25830.5;-855.881;6071.6;4.68293
-18.6479;8.26263;7.20647;25830.5;-855.881;6071.6;12.7815
20.6806;75.4429;30.0544;12946.9;-669.453;2709.2;3.34221
20.6806;75.4429;30.0544;12946.9;-669.453;2709.2;1.96647
20.6806;75.4429;30.0544;12946.9;-669.453;2709.2;3.09374
20.6806;75.4429;30.0544;12946.9;-669.453;2709.2;3.28936
20.6806;75.4429;30.0544;12946.9;-669.453;2709.2;5.29036
20.6806;75.4429;30.0544;12946.9;-669.453;2709.2;5.42607
57.336;75.4429;30.0544;12946.9;-669.453;2709.2;5.80889
57.336;75.4429;30.0544;12946.9;-669.453;2709.2;14.362
57.336;75.4429;30.0544;12946.9;-669.453;2709.2;3.01819
57.336;75.4429;30.0544;12946.9;-669.453;2709.2;3.51551
57.336;75.4429;30.0544;12946.9;-669.453;2709.2;5.72183
57.336;75.4429;30.0544;12946.9;-669.453;2709.2;13.9092
20.6806;209.162;30.0544;12946.9;-669.453;2709.2;33.1012
20.6806;209.162;30.0544;12946.9;-669.453;2709.2;2.28745
20.6806;209.162;30.0544;12946.9;-669.453;2709.2;2.59033
20.6806;209.162;30.0544;12946.9;-669.453;2709.2;4.8651
20.6806;209.162;30.0544;12946.9;-669.453;2709.2;6.81685
20.6806;209.162;30.0544;12946.9;-669.453;2709.2;14.8298
20.6806;75.4429;83.3243;12946.9;-669.453;2709.2;8.66254
20.6806;75.4429;83.3243;12946.9;-669.453;2709.2;14.3443
20.6806;75.4429;83.3243;12946.9;-669.453;2709.2;8.36162
20.6806;75.4429;83.3243;12946.9;-669.453;2709.2;3.54293
20.6806;75.4429;83.3243;12946.9;-669.453;2709.2;5.45302
20.6806;75.4429;83.3243;12946.9;-669.453;2709.2;13.0418
20.6806;75.4429;30.0544;35894.7;-669.453;2709.2;8.09723
20.6806;75.4429;30.0544;35894.7;-669.453;2709.2;15.18
20.6806;75.4429;30.0544;35894.7;-669.453;2709.2;2.19768
20.6806;75.4429;30.0544;35894.7;-669.453;2709.2;4.06767
20.6806;75.4429;30.0544;35894.7;-669.453;2709.2;4.74929
20.6806;75.4429;30.0544;35894.7;-669.453;2709.2;12.7318
20.6806;75.4429;30.0544;12946.9;517.121;2709.2;3.9684
20.6806;75.4429;30.0544;12946.9;517.121;2709.2;2.1221
20.6806;75.4429;30.0544;12946.9;517.121;2709.2;4.65365
20.6806;75.4429;30.0544;12946.9;517.121;2709.2;3.11515
20.6806;75.4429;30.0544;12946.9;517.121;2709.2;4.64886
20.6806;75.4429;30.0544;12946.9;517.121;2709.2;15.7661
20.6806;75.4429;30.0544;12946.9;-669.453;7511.12;5.47388
20.6806;75.4429;30.0544;12946.9;-669.453;7511.12;1.20987
20.6806;75.4429;30.0544;12946.9;-669.453;7511.12;3.77162
20.6806;75.4429;30.0544;12946.9;-669.453;7511.12;3.37343
20.6806;75.4429;30.0544;12946.9;-669.453;7511.12;4.73088
20.6806;75.4429;30.0544;12946.9;-669.453;7511.12;14.731
-82.5672;39.0197;14.9241;75756.2;-34.0744;1595.49;4.94158
-82.5672;39.0197;14.9241;75756.2;-34.0744;1595.49;1.59449
-82.5672;39.0197;14.9241;75756.2;-34.0744;1595.49;6.0902
-82.5672;39.0197;14.9241;75756.2;-34.0744;1595.49;3.99388
-82.5672;39.0197;14.9241;75756.2;-34.0744;1595.49;3.50742
-82.5672;39.0197;14.9241;75756.2;-34.0744;1595.49;2.56803
-27.0326;51.4541;11.1086;45156.4;-648.825;2640.49;6.80876
-27.0326;51.4541;11.1086;45156.4;-648.825;2640.49;1.90831
-27.0326;51.4541;11.1086;45156.4;-648.825;2640.49;5.41408
-27.0326;51.4541;11.1086;45156.4;-648.825;2640.49;3.80341
-27.0326;51.4541;11.1086;45156.4;-648.825;2640.49;4.60438
-27.0326;51.4541;11.1086;45156.4;-648.825;2640.49;11.1837
16.5321;62.8096;22.2529;15099.6;-957.235;2658.76;19.5589
16.5321;62.8096;22.2529;15099.6;-957.235;2658.76;1.72944
16.5321;62.8096;22.2529;15099.6;-957.235;2658.76;3.525
16.5321;62.8096;22.2529;15099.6;-957.235;2658.76;4.22458
16.5321;62.8096;22.2529;15099.6;-957.235;2658.76;6.18321
16.5321;62.8096;22.2529;15099.6;-957.235;2658.76;9.67026
20.4682;74.3764;29.8115;10166.2;-688.115;2704.82;42.4894
20.4682;74.3764;29.8115;10166.2;-688.115;2704.82;1.73949
20.4682;74.3764;29.8115;10166.2;-688.115;2704.82;5.69695
20.4682;74.3764;29.8115;10166.2;-688.115;2704.82;6.75012
20.4682;74.3764;29.8115;10166.2;-688.115;2704.82;6.17668
20.4682;74.3764;29.8115;10166.2;-688.115;2704.82;14.0089
20.66;75.3628;30.0333;12657.5;-670.84;2708.87;3.622
20.66;75.3628;30.0333;12657.5;-670.84;2708.87;3.39781
20.66;75.3628;30.0333;12657.5;-670.84;2708.87;3.55268
20.66;75.3628;30.0333;12657.5;-670.84;2708.87;3.50238
20.66;75.3628;30.0333;12657.5;-670.84;2708.87;5.29046
20.66;75.3628;30.0333;12657.5;-670.84;2708.87;13.2005
20.6785;75.4347;30.0522;12916.7;-669.594;2709.16;13.2507
20.6785;75.4347;30.0522;12916.7;-669.594;2709.16;10.66
20.6785;75.4347;30.0522;12916.7;-669.594;2709.16;8.26445
20.6785;75.4347;30.0522;12916.7;-669.594;2709.16;6.7293
20.6785;75.4347;30.0522;12916.7;-669.594;2709.16;7.4186
20.6785;75.4347;30.0522;12916.7;-669.594;2709.16;3.58686
20.6804;75.4421;30.0541;12943.9;-669.467;2709.19;14.923
20.6804;75.4421;30.0541;12943.9;-669.467;2709.19;1.86573
20.6804;75.4421;30.0541;12943.9;-669.467;2709.19;3.82998
