d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;3.36026
0;0;0;0;0;0;1.52421
0;0;0;0;0;0;1.98584
0;0;0;0;0;0;1.8888
0;0;0;0;0;0;3.77263
0;0;0;0;0;0;1.43331
6.66134e-015;0;0;0;0;0;3.36026
6.66134e-015;0;0;0;0;0;1.52421
6.66134e-015;0;0;0;0;0;1.98584
6.66134e-015;0;0;0;0;0;1.8888
6.66134e-015;0;0;0;0;0;3.77263
6.66134e-015;0;0;0;0;0;1.43331
0;6.66134e-015;0;0;0;0;3.36026
0;6.66134e-015;0;0;0;0;1.52421
0;6.66134e-015;0;0;0;0;1.98584
0;6.66134e-015;0;0;0;0;1.8888
0;6.66134e-015;0;0;0;0;3.77263
0;6.66134e-015;0;0;0;0;1.43331
0;0;6.66134e-015;0;0;0;3.36026
0;0;6.66134e-015;0;0;0;1.52421
0;0;6.66134e-015;0;0;0;1.98584
0;0;6.66134e-015;0;0;0;1.8888
0;0;6.66134e-015;0;0;0;3.77263
0;0;6.66134e-015;0;0;0;1.43331
0;0;0;6.66134e-015;0;0;3.36026
0;0;0;6.66134e-015;0;0;1.52421
0;0;0;6.66134e-015;0;0;1.98584
0;0;0;6.66134e-015;0;0;1.8888
0;0;0;6.66134e-015;0;0;3.77263
0;0;0;6.66134e-015;0;0;1.43331
0;0;0;0;6.66134e-015;0;3.36026
0;0;0;0;6.66134e-015;0;1.52421
0;0;0;0;6.66134e-015;0;1.98584
0;0;0;0;6.66134e-015;0;1.8888
0;0;0;0;6.66134e-015;0;3.77263
0;0;0;0;6.66134e-015;0;1.43331
0;0;0;0;0;6.66134e-015;3.36026
0;0;0;0;0;6.66134e-015;1.52421
0;0;0;0;0;6.66134e-015;1.98584
0;0;0;0;0;6.66134e-015;1.8888
0;0;0;0;0;6.66134e-015;3.77263
0;0;0;0;0;6.66134e-015;1.43331
0;0;0;0;0;0;11.521
0;0;0;0;0;0;0.798084
0;0;0;0;0;0;2.49844
0;0;0;0;0;0;2.92525
0;0;0;0;0;0;2.45694
0;0;0;0;0;0;11.0867
3.14159;0;0;0;0;0;11.5735
3.14159;0;0;0;0;0;0.892937
3.14159;0;0;0;0;0;2.59002
3.14159;0;0;0;0;0;2.98998
3.14159;0;0;0;0;0;2.35053
3.14159;0;0;0;0;0;11.379
0;3.14159;0;0;0;0;7.29691
0;3.14159;0;0;0;0;0.894399
0;3.14159;0;0;0;0;2.53402
0;3.14159;0;0;0;0;2.86891
0;3.14159;0;0;0;0;2.50198
0;3.14159;0;0;0;0;10.1819
0;0;3.14159;0;0;0;12.4953
0;0;3.14159;0;0;0;0.956063
0;0;3.14159;0;0;0;2.5352
0;0;3.14159;0;0;0;3.21834
0;0;3.14159;0;0;0;2.06512
0;0;3.14159;0;0;0;10.8659
0;0;0;3.14159;0;0;11.521
0;0;0;3.14159;0;0;0.798084
0;0;0;3.14159;0;0;2.49844
0;0;0;3.14159;0;0;2.92525
0;0;0;3.14159;0;0;2.45694
0;0;0;3.14159;0;0;11.0867
0;0;0;0;3.14159;0;11.521
0;0;0;0;3.14159;0;0.798084
0;0;0;0;3.14159;0;2.49844
0;0;0;0;3.14159;0;2.92525
0;0;0;0;3.14159;0;2.45694
0;0;0;0;3.14159;0;11.0867
0;0;0;0;0;3.14159;11.521
0;0;0;0;0;3.14159;0.798084
0;0;0;0;0;3.14159;2.49844
0;0;0;0;0;3.14159;2.92525
0;0;0;0;0;3.14159;2.45694
0;0;0;0;0;3.14159;11.0867
-67.7884;12.1638;19.2833;0;0;0;8.91972
-67.7884;12.1638;19.2833;0;0;0;0.83326
-67.7884;12.1638;19.2833;0;0;0;4.85049
-67.7884;12.1638;19.2833;0;0;0;2.59599
-67.7884;12.1638;19.2833;0;0;0;3.78605
-67.7884;12.1638;19.2833;0;0;0;6.68982
52.3634;12.1638;19.2833;0;0;0;3.39895
52.3634;12.1638;19.2833;0;0;0;1.64262
52.3634;12.1638;19.2833;0;0;0;3.8065
52.3634;12.1638;19.2833;0;0;0;2.41648
52.3634;12.1638;19.2833;0;0;0;2.38852
52.3634;12.1638;19.2833;0;0;0;9.52442
-67.7884;33.7237;19.2833;0;0;0;4.95301
-67.7884;33.7237;19.2833;0;0;0;0.692428
-67.7884;33.7237;19.2833;0;0;0;5.23577
-67.7884;33.7237;19.2833;0;0;0;2.4808
-67.7884;33.7237;19.2833;0;0;0;3.44261
-67.7884;33.7237;19.2833;0;0;0;5.86176
-67.7884;12.1638;53.462;0;0;0;1.36771
-67.7884;12.1638;53.462;0;0;0;1.95299
-67.7884;12.1638;53.462;0;0;0;2.43993
-67.7884;12.1638;53.462;0;0;0;3.01898
-67.7884;12.1638;53.462;0;0;0;2.85423
-67.7884;12.1638;53.462;0;0;0;2.52989
-67.7884;12.1638;19.2833;3.14159;0;0;10.7173
-67.7884;12.1638;19.2833;3.14159;0;0;0.809919
-67.7884;12.1638;19.2833;3.14159;0;0;2.81105
-67.7884;12.1638;19.2833;3.14159;0;0;2.12727
-67.7884;12.1638;19.2833;3.14159;0;0;3.3755
-67.7884;12.1638;19.2833;3.14159;0;0;5.49958
-67.7884;12.1638;19.2833;0;3.14159;0;8.65085
-67.7884;12.1638;19.2833;0;3.14159;0;1.90055
-67.7884;12.1638;19.2833;0;3.14159;0;3.96969
-67.7884;12.1638;19.2833;0;3.14159;0;2.78719
-67.7884;12.1638;19.2833;0;3.14159;0;3.40207
-67.7884;12.1638;19.2833;0;3.14159;0;8.73701
-67.7884;12.1638;19.2833;0;0;3.14159;1.75858
-67.7884;12.1638;19.2833;0;0;3.14159;2.04504
-67.7884;12.1638;19.2833;0;0;3.14159;3.35031
-67.7884;12.1638;19.2833;0;0;3.14159;1.73974
-67.7884;12.1638;19.2833;0;0;3.14159;3.83164
-67.7884;12.1638;19.2833;0;0;3.14159;2.48548
112.019;36.2318;24.3182;9.00321;-7.90869;0.472549;3.19917
112.019;36.2318;24.3182;9.00321;-7.90869;0.472549;1.07298
112.019;36.2318;24.3182;9.00321;-7.90869;0.472549;2.06046
112.019;36.2318;24.3182;9.00321;-7.90869;0.472549;4.77253
112.019;36.2318;24.3182;9.00321;-7.90869;0.472549;2.87638
112.019;36.2318;24.3182;9.00321;-7.90869;0.472549;7.74491
310.569;36.2318;24.3182;9.00321;-7.90869;0.472549;16.4308
310.569;36.2318;24.3182;9.00321;-7.90869;0.472549;0.617709
310.569;36.2318;24.3182;9.00321;-7.90869;0.472549;2.46447
310.569;36.2318;24.3182;9.00321;-7.90869;0.472549;2.58391
310.569;36.2318;24.3182;9.00321;-7.90869;0.472549;1.3938
310.569;36.2318;24.3182;9.00321;-7.90869;0.472549;17.5545
112.019;100.451;24.3182;9.00321;-7.90869;0.472549;11.4588
112.019;100.451;24.3182;9.00321;-7.90869;0.472549;1.18776
112.019;100.451;24.3182;9.00321;-7.90869;0.472549;2.19834
112.019;100.451;24.3182;9.00321;-7.90869;0.472549;8.17831
112.019;100.451;24.3182;9.00321;-7.90869;0.472549;2.0536
112.019;100.451;24.3182;9.00321;-7.90869;0.472549;9.03922
112.019;36.2318;67.4211;9.00321;-7.90869;0.472549;5.23683
112.019;36.2318;67.4211;9.00321;-7.90869;0.472549;1.12456
112.019;36.2318;67.4211;9.00321;-7.90869;0.472549;3.87935
112.019;36.2318;67.4211;9.00321;-7.90869;0.472549;3.42734
112.019;36.2318;67.4211;9.00321;-7.90869;0.472549;2.26581
112.019;36.2318;67.4211;9.00321;-7.90869;0.472549;3.18402
112.019;36.2318;24.3182;24.961;-7.90869;0.472549;7.40294
112.019;36.2318;24.3182;24.961;-7.90869;0.472549;1.73225
112.019;36.2318;24.3182;24.961;-7.90869;0.472549;1.65919
112.019;36.2318;24.3182;24.961;-7.90869;0.472549;1.90136
112.019;36.2318;24.3182;24.961;-7.90869;0.472549;3.58076
112.019;36.2318;24.3182;24.961;-7.90869;0.472549;3.85044
112.019;36.2318;24.3182;9.00321;6.1091;0.472549;4.1114
112.019;36.2318;24.3182;9.00321;6.1091;0.472549;1.25482
112.019;36.2318;24.3182;9.00321;6.1091;0.472549;2.54188
112.019;36.2318;24.3182;9.00321;6.1091;0.472549;2.77967
112.019;36.2318;24.3182;9.00321;6.1091;0.472549;2.31278
112.019;36.2318;24.3182;9.00321;6.1091;0.472549;6.70669
112.019;36.2318;24.3182;9.00321;-7.90869;3.61414;3.23901
112.019;36.2318;24.3182;9.00321;-7.90869;3.61414;1.31224
112.019;36.2318;24.3182;9.00321;-7.90869;3.61414;1.47156
112.019;36.2318;24.3182;9.00321;-7.90869;3.61414;2.38444
112.019;36.2318;24.3182;9.00321;-7.90869;3.61414;3.2664
112.019;36.2318;24.3182;9.00321;-7.90869;3.61414;4.28747
109.248;46.6942;33.5486;-12.9806;4.36181;10.3855;9.1669
109.248;46.6942;33.5486;-12.9806;4.36181;10.3855;0.991134
109.248;46.6942;33.5486;-12.9806;4.36181;10.3855;2.30376
109.248;46.6942;33.5486;-12.9806;4.36181;10.3855;4.45514
109.248;46.6942;33.5486;-12.9806;4.36181;10.3855;3.18534
109.248;46.6942;33.5486;-12.9806;4.36181;10.3855;2.66009
