d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;0.414997
0;0;0;0;0;0;0.246674
0;0;0;0;0;0;0.325425
0;0;0;0;0;0;0.403264
0;0;0;0;0;0;0.800315
0;0;0;0;0;0;0.488263
3.14159;0;0;0;0;0;0.414999
3.14159;0;0;0;0;0;0.246674
3.14159;0;0;0;0;0;0.325438
3.14159;0;0;0;0;0;0.403238
3.14159;0;0;0;0;0;0.800337
3.14159;0;0;0;0;0;0.488255
0;3.14159;0;0;0;0;0.414984
0;3.14159;0;0;0;0;0.24667
0;3.14159;0;0;0;0;0.325427
0;3.14159;0;0;0;0;0.403317
0;3.14159;0;0;0;0;0.80022
0;3.14159;0;0;0;0;0.488232
0;0;3.14159;0;0;0;0.414999
0;0;3.14159;0;0;0;0.246675
0;0;3.14159;0;0;0;0.325426
0;0;3.14159;0;0;0;0.403263
0;0;3.14159;0;0;0;0.800312
0;0;3.14159;0;0;0;0.488263
0;0;0;3.14159;0;0;0.414997
0;0;0;3.14159;0;0;0.246674
0;0;0;3.14159;0;0;0.325425
0;0;0;3.14159;0;0;0.403264
0;0;0;3.14159;0;0;0.800315
0;0;0;3.14159;0;0;0.488263
0;0;0;0;3.14159;0;0.414997
0;0;0;0;3.14159;0;0.246674
0;0;0;0;3.14159;0;0.325425
0;0;0;0;3.14159;0;0.403264
0;0;0;0;3.14159;0;0.800315
0;0;0;0;3.14159;0;0.488263
0;0;0;0;0;3.14159;0.414997
0;0;0;0;0;3.14159;0.246674
0;0;0;0;0;3.14159;0.325425
0;0;0;0;0;3.14159;0.403264
0;0;0;0;0;3.14159;0.800315
0;0;0;0;0;3.14159;0.488263
57415.6;33730.3;-58414.9;0;0;0;0.417896
57415.6;33730.3;-58414.9;0;0;0;0.248752
57415.6;33730.3;-58414.9;0;0;0;0.326642
57415.6;33730.3;-58414.9;0;0;0;0.410508
57415.6;33730.3;-58414.9;0;0;0;0.809906
57415.6;33730.3;-58414.9;0;0;0;0.507242
21659.5;18864.9;50702.5;0;0;0;0.421387
21659.5;18864.9;50702.5;0;0;0;0.274816
21659.5;18864.9;50702.5;0;0;0;0.341773
21659.5;18864.9;50702.5;0;0;0;0.428615
21659.5;18864.9;50702.5;0;0;0;1.23031
21659.5;18864.9;50702.5;0;0;0;0.491153
-1946.33;3784.24;45796;0;0;0;0.434392
-1946.33;3784.24;45796;0;0;0;0.248249
-1946.33;3784.24;45796;0;0;0;0.330036
-1946.33;3784.24;45796;0;0;0;0.406842
-1946.33;3784.24;45796;0;0;0;0.838047
-1946.33;3784.24;45796;0;0;0;0.492533
-1111.11;1294.54;17375.8;0;0;0;0.430089
-1111.11;1294.54;17375.8;0;0;0;0.247455
-1111.11;1294.54;17375.8;0;0;0;0.331451
-1111.11;1294.54;17375.8;0;0;0;0.406329
-1111.11;1294.54;17375.8;0;0;0;0.806035
-1111.11;1294.54;17375.8;0;0;0;0.490384
-477.616;498.56;6864.38;0;0;0;1.16111
-477.616;498.56;6864.38;0;0;0;0.246984
-477.616;498.56;6864.38;0;0;0;0.328629
-477.616;498.56;6864.38;0;0;0;0.506241
-477.616;498.56;6864.38;0;0;0;0.800388
-477.616;498.56;6864.38;0;0;0;0.492275
-46.2383;45.6861;637.295;0;0;0;0.41709
-46.2383;45.6861;637.295;0;0;0;0.246775
-46.2383;45.6861;637.295;0;0;0;0.329052
-46.2383;45.6861;637.295;0;0;0;0.404645
-46.2383;45.6861;637.295;0;0;0;0.799949
-46.2383;45.6861;637.295;0;0;0;0.489333
-7.73164;7.60578;106.208;0;0;0;0.414489
-7.73164;7.60578;106.208;0;0;0;0.246676
-7.73164;7.60578;106.208;0;0;0;0.32663
-7.73164;7.60578;106.208;0;0;0;0.403251
-7.73164;7.60578;106.208;0;0;0;0.80034
-7.73164;7.60578;106.208;0;0;0;0.488271
-2.09549;2.06007;28.7715;0;0;0;0.414985
-2.09549;2.06007;28.7715;0;0;0;0.246662
-2.09549;2.06007;28.7715;0;0;0;0.325453
-2.09549;2.06007;28.7715;0;0;0;0.403319
-2.09549;2.06007;28.7715;0;0;0;0.800372
-2.09549;2.06007;28.7715;0;0;0;0.48825
-0.532501;0.523406;7.31035;0;0;0;0.41499
-0.532501;0.523406;7.31035;0;0;0;0.246675
-0.532501;0.523406;7.31035;0;0;0;0.325386
-0.532501;0.523406;7.31035;0;0;0;0.403319
-0.532501;0.523406;7.31035;0;0;0;0.800295
-0.532501;0.523406;7.31035;0;0;0;0.488273
2.60909;0.523406;7.31035;0;0;0;0.414987
2.60909;0.523406;7.31035;0;0;0;0.246675
2.60909;0.523406;7.31035;0;0;0;0.32539
2.60909;0.523406;7.31035;0;0;0;0.403338
2.60909;0.523406;7.31035;0;0;0;0.800246
2.60909;0.523406;7.31035;0;0;0;0.488262
-0.532501;3.665;7.31035;0;0;0;0.414966
-0.532501;3.665;7.31035;0;0;0;0.246656
-0.532501;3.665;7.31035;0;0;0;0.325389
-0.532501;3.665;7.31035;0;0;0;0.403317
-0.532501;3.665;7.31035;0;0;0;0.800342
-0.532501;3.665;7.31035;0;0;0;0.488266
-0.532501;0.523406;20.2676;0;0;0;0.41499
-0.532501;0.523406;20.2676;0;0;0;0.246675
-0.532501;0.523406;20.2676;0;0;0;0.325386
-0.532501;0.523406;20.2676;0;0;0;0.403326
-0.532501;0.523406;20.2676;0;0;0;0.800301
-0.532501;0.523406;20.2676;0;0;0;0.488277
-0.532501;0.523406;7.31035;3.14159;0;0;0.414983
-0.532501;0.523406;7.31035;3.14159;0;0;0.246658
-0.532501;0.523406;7.31035;3.14159;0;0;0.325393
-0.532501;0.523406;7.31035;3.14159;0;0;0.40329
-0.532501;0.523406;7.31035;3.14159;0;0;0.800368
-0.532501;0.523406;7.31035;3.14159;0;0;0.488296
-0.532501;0.523406;7.31035;0;3.14159;0;0.41499
-0.532501;0.523406;7.31035;0;3.14159;0;0.246676
-0.532501;0.523406;7.31035;0;3.14159;0;0.325407
-0.532501;0.523406;7.31035;0;3.14159;0;0.4033
-0.532501;0.523406;7.31035;0;3.14159;0;0.800252
-0.532501;0.523406;7.31035;0;3.14159;0;0.48827
-0.532501;0.523406;7.31035;0;0;3.14159;0.414981
-0.532501;0.523406;7.31035;0;0;3.14159;0.246659
-0.532501;0.523406;7.31035;0;0;3.14159;0.325409
