d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0;0;0;0;0;0;0.810594
0;0;0;0;0;0;0.52682
0;0;0;0;0;0;1.07714
0;0;0;0;0;0;0.782683
0;0;0;0;0;0;1.54877
0;0;0;0;0;0;0.937086
3.14159;0;0;0;0;0;0.812581
3.14159;0;0;0;0;0;0.531219
3.14159;0;0;0;0;0;1.07016
3.14159;0;0;0;0;0;0.784014
3.14159;0;0;0;0;0;1.55361
3.14159;0;0;0;0;0;0.93812
0;3.14159;0;0;0;0;0.815733
0;3.14159;0;0;0;0;0.529338
0;3.14159;0;0;0;0;1.07538
0;3.14159;0;0;0;0;0.786605
0;3.14159;0;0;0;0;1.55259
0;3.14159;0;0;0;0;0.94078
0;0;3.14159;0;0;0;0.815278
0;0;3.14159;0;0;0;0.528801
0;0;3.14159;0;0;0;1.0744
0;0;3.14159;0;0;0;0.783855
0;0;3.14159;0;0;0;1.5368
0;0;3.14159;0;0;0;0.937157
0;0;0;3.14159;0;0;0.810509
0;0;0;3.14159;0;0;0.52682
0;0;0;3.14159;0;0;1.07714
0;0;0;3.14159;0;0;0.782797
0;0;0;3.14159;0;0;1.54877
0;0;0;3.14159;0;0;0.937086
0;0;0;0;3.14159;0;0.810594
0;0;0;0;3.14159;0;0.526734
0;0;0;0;3.14159;0;1.07704
0;0;0;0;3.14159;0;0.782683
0;0;0;0;3.14159;0;1.54877
0;0;0;0;3.14159;0;0.937086
0;0;0;0;0;3.14159;0.810509
0;0;0;0;0;3.14159;0.526734
0;0;0;0;0;3.14159;1.07704
0;0;0;0;0;3.14159;0.782797
0;0;0;0;0;3.14159;1.54877
0;0;0;0;0;3.14159;0.937086
343.332;-866.314;270.397;-16267.9;0;17384.5;0.793335
343.332;-866.314;270.397;-16267.9;0;17384.5;0.53575
343.332;-866.314;270.397;-16267.9;0;17384.5;1.03389
343.332;-866.314;270.397;-16267.9;0;17384.5;0.774375
343.332;-866.314;270.397;-16267.9;0;17384.5;1.47684
343.332;-866.314;270.397;-16267.9;0;17384.5;0.910046
951.873;-866.314;270.397;-16267.9;0;17384.5;0.793925
951.873;-866.314;270.397;-16267.9;0;17384.5;0.53691
951.873;-866.314;270.397;-16267.9;0;17384.5;1.03445
951.873;-866.314;270.397;-16267.9;0;17384.5;0.775663
951.873;-866.314;270.397;-16267.9;0;17384.5;1.48031
951.873;-866.314;270.397;-16267.9;0;17384.5;0.911335
343.332;669.188;270.397;-16267.9;0;17384.5;0.793115
343.332;669.188;270.397;-16267.9;0;17384.5;0.535562
343.332;669.188;270.397;-16267.9;0;17384.5;1.03232
343.332;669.188;270.397;-16267.9;0;17384.5;0.773905
343.332;669.188;270.397;-16267.9;0;17384.5;1.47577
343.332;669.188;270.397;-16267.9;0;17384.5;0.912008
343.332;-866.314;749.662;-16267.9;0;17384.5;0.793327
343.332;-866.314;749.662;-16267.9;0;17384.5;0.534209
343.332;-866.314;749.662;-16267.9;0;17384.5;1.02996
343.332;-866.314;749.662;-16267.9;0;17384.5;0.776624
343.332;-866.314;749.662;-16267.9;0;17384.5;1.46782
343.332;-866.314;749.662;-16267.9;0;17384.5;0.911423
343.332;-866.314;270.397;12566.2;0;17384.5;0.812276
343.332;-866.314;270.397;12566.2;0;17384.5;0.526497
343.332;-866.314;270.397;12566.2;0;17384.5;1.05859
343.332;-866.314;270.397;12566.2;0;17384.5;0.782879
343.332;-866.314;270.397;12566.2;0;17384.5;1.53035
343.332;-866.314;270.397;12566.2;0;17384.5;0.942529
343.332;-866.314;270.397;-16267.9;3.14159;17384.5;0.801851
343.332;-866.314;270.397;-16267.9;3.14159;17384.5;0.533321
343.332;-866.314;270.397;-16267.9;3.14159;17384.5;1.02686
343.332;-866.314;270.397;-16267.9;3.14159;17384.5;0.77025
343.332;-866.314;270.397;-16267.9;3.14159;17384.5;1.46694
343.332;-866.314;270.397;-16267.9;3.14159;17384.5;0.910085
343.332;-866.314;270.397;-16267.9;0;48197.8;0.804992
343.332;-866.314;270.397;-16267.9;0;48197.8;0.534657
343.332;-866.314;270.397;-16267.9;0;48197.8;1.02973
343.332;-866.314;270.397;-16267.9;0;48197.8;0.767367
343.332;-866.314;270.397;-16267.9;0;48197.8;1.4656
343.332;-866.314;270.397;-16267.9;0;48197.8;0.91049
329.137;-865.846;281.849;-43575.3;231.379;16974.7;0.797751
329.137;-865.846;281.849;-43575.3;231.379;16974.7;0.535659
329.137;-865.846;281.849;-43575.3;231.379;16974.7;1.03844
329.137;-865.846;281.849;-43575.3;231.379;16974.7;0.775847
329.137;-865.846;281.849;-43575.3;231.379;16974.7;1.46432
329.137;-865.846;281.849;-43575.3;231.379;16974.7;0.919467
912.519;-865.846;281.849;-43575.3;231.379;16974.7;0.799576
912.519;-865.846;281.849;-43575.3;231.379;16974.7;0.534312
912.519;-865.846;281.849;-43575.3;231.379;16974.7;1.03467
