d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;16.4124
0.4;0;0.2;1.5708;0;1.5708;4.41693
0.4;0;0.2;1.5708;0;1.5708;4.79281
0.4;0;0.2;1.5708;0;1.5708;7.50514
0.4;0;0.2;1.5708;0;1.5708;6.80248
0.4;0;0.2;1.5708;0;1.5708;17.9705
0.4;0;0.2;1.5708;0;1.5708;16.4124
0.4;0;0.2;1.5708;0;1.5708;4.41693
0.4;0;0.2;1.5708;0;1.5708;4.79281
0.4;0;0.2;1.5708;0;1.5708;7.50514
0.4;0;0.2;1.5708;0;1.5708;6.80248
0.4;0;0.2;1.5708;0;1.5708;17.9705
0.4;6.66134e-015;0.2;1.5708;0;1.5708;16.4124
0.4;6.66134e-015;0.2;1.5708;0;1.5708;4.41693
0.4;6.66134e-015;0.2;1.5708;0;1.5708;4.79288
0.4;6.66134e-015;0.2;1.5708;0;1.5708;7.42544
0.4;6.66134e-015;0.2;1.5708;0;1.5708;6.79714
0.4;6.66134e-015;0.2;1.5708;0;1.5708;17.9705
0.4;0;0.2;1.5708;0;1.5708;15.6473
0.4;0;0.2;1.5708;0;1.5708;4.40705
0.4;0;0.2;1.5708;0;1.5708;4.78857
0.4;0;0.2;1.5708;0;1.5708;7.5192
0.4;0;0.2;1.5708;0;1.5708;6.80141
0.4;0;0.2;1.5708;0;1.5708;17.9329
0.4;0;0.2;1.5708;0;1.5708;18.6468
0.4;0;0.2;1.5708;0;1.5708;4.47426
0.4;0;0.2;1.5708;0;1.5708;4.75663
0.4;0;0.2;1.5708;0;1.5708;8.06219
0.4;0;0.2;1.5708;0;1.5708;6.76683
0.4;0;0.2;1.5708;0;1.5708;17.7367
0.4;0;0.2;1.5708;6.66134e-015;1.5708;16.4124
0.4;0;0.2;1.5708;6.66134e-015;1.5708;4.41693
0.4;0;0.2;1.5708;6.66134e-015;1.5708;4.79288
0.4;0;0.2;1.5708;6.66134e-015;1.5708;7.42544
0.4;0;0.2;1.5708;6.66134e-015;1.5708;6.79714
0.4;0;0.2;1.5708;6.66134e-015;1.5708;17.9608
0.4;0;0.2;1.5708;0;1.5708;16.4624
0.4;0;0.2;1.5708;0;1.5708;4.45599
0.4;0;0.2;1.5708;0;1.5708;4.7299
0.4;0;0.2;1.5708;0;1.5708;7.87261
0.4;0;0.2;1.5708;0;1.5708;6.85971
0.4;0;0.2;1.5708;0;1.5708;17.7976
0.4;4.42237e-012;0.200004;1.57081;-1.16787e-012;1.57079;18.5186
0.4;4.42237e-012;0.200004;1.57081;-1.16787e-012;1.57079;4.47329
0.4;4.42237e-012;0.200004;1.57081;-1.16787e-012;1.57079;4.84065
0.4;4.42237e-012;0.200004;1.57081;-1.16787e-012;1.57079;8.03258
0.4;4.42237e-012;0.200004;1.57081;-1.16787e-012;1.57079;6.85207
0.4;4.42237e-012;0.200004;1.57081;-1.16787e-012;1.57079;17.623
0.4;-1.19304e-012;0.200002;1.5708;3.52985e-012;1.5708;17.8937
0.4;-1.19304e-012;0.200002;1.5708;3.52985e-012;1.5708;4.44359
0.4;-1.19304e-012;0.200002;1.5708;3.52985e-012;1.5708;4.75627
0.4;-1.19304e-012;0.200002;1.5708;3.52985e-012;1.5708;8.06162
0.4;-1.19304e-012;0.200002;1.5708;3.52985e-012;1.5708;6.80863
0.4;-1.19304e-012;0.200002;1.5708;3.52985e-012;1.5708;18.0934
0.4;-1.11973e-013;0.200001;1.5708;2.6091e-012;1.5708;16.8478
0.4;-1.11973e-013;0.200001;1.5708;2.6091e-012;1.5708;4.39388
0.4;-1.11973e-013;0.200001;1.5708;2.6091e-012;1.5708;4.75892
0.4;-1.11973e-013;0.200001;1.5708;2.6091e-012;1.5708;8.09777
0.4;-1.11973e-013;0.200001;1.5708;2.6091e-012;1.5708;6.69883
0.4;-1.11973e-013;0.200001;1.5708;2.6091e-012;1.5708;17.5335
0.4;5.31771e-013;0.2;1.5708;1.23017e-012;1.5708;17.3041
0.4;5.31771e-013;0.2;1.5708;1.23017e-012;1.5708;4.3585
0.4;5.31771e-013;0.2;1.5708;1.23017e-012;1.5708;4.62359
0.4;5.31771e-013;0.2;1.5708;1.23017e-012;1.5708;8.04544
0.4;5.31771e-013;0.2;1.5708;1.23017e-012;1.5708;6.98265
0.4;5.31771e-013;0.2;1.5708;1.23017e-012;1.5708;18.2785
0.4;2.89845e-013;0.2;1.5708;5.31522e-013;1.5708;17.6716
0.4;2.89845e-013;0.2;1.5708;5.31522e-013;1.5708;4.43647
0.4;2.89845e-013;0.2;1.5708;5.31522e-013;1.5708;4.75737
0.4;2.89845e-013;0.2;1.5708;5.31522e-013;1.5708;8.00087
0.4;2.89845e-013;0.2;1.5708;5.31522e-013;1.5708;6.79045
0.4;2.89845e-013;0.2;1.5708;5.31522e-013;1.5708;17.7722
0.4;1.33989e-013;0.2;1.5708;2.01028e-013;1.5708;16.7904
0.4;1.33989e-013;0.2;1.5708;2.01028e-013;1.5708;4.48244
0.4;1.33989e-013;0.2;1.5708;2.01028e-013;1.5708;4.75999
0.4;1.33989e-013;0.2;1.5708;2.01028e-013;1.5708;8.04948
0.4;1.33989e-013;0.2;1.5708;2.01028e-013;1.5708;6.77676
0.4;1.33989e-013;0.2;1.5708;2.01028e-013;1.5708;17.6252
0.4;6.60874e-014;0.2;1.5708;8.94917e-014;1.5708;17.293
0.4;6.60874e-014;0.2;1.5708;8.94917e-014;1.5708;4.49899
0.4;6.60874e-014;0.2;1.5708;8.94917e-014;1.5708;4.80313
0.4;6.60874e-014;0.2;1.5708;8.94917e-014;1.5708;7.97615
0.4;6.60874e-014;0.2;1.5708;8.94917e-014;1.5708;6.6562
0.4;6.60874e-014;0.2;1.5708;8.94917e-014;1.5708;17.8549
0.4;2.77679e-014;0.2;1.5708;3.5864e-014;1.5708;16.7971
0.4;2.77679e-014;0.2;1.5708;3.5864e-014;1.5708;4.49338
0.4;2.77679e-014;0.2;1.5708;3.5864e-014;1.5708;4.71381
0.4;2.77679e-014;0.2;1.5708;3.5864e-014;1.5708;7.90385
0.4;2.77679e-014;0.2;1.5708;3.5864e-014;1.5708;6.7697
0.4;2.77679e-014;0.2;1.5708;3.5864e-014;1.5708;17.8603
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.8107
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.40503
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.93933
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;8.05777
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.89822
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9696
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;16.4349
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.40468
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.93933
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;8.05777
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.89823
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9381
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;15.8107
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;4.40503
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;4.93933
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;8.05777
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;6.89822
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;17.9696
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;16.1251
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.40947
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.88573
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.97424
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.88658
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9426
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;18.2585
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.41649
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.90721
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;8.05972
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.79692
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.6495
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;15.8107
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;4.40503
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;4.93933
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;8.05777
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;6.89822
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;17.9696
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.1682
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.42735
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.79794
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.99137
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.95759
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.8015
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;16.3592
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.53041
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.68635
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.65338
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.85774
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.8857
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.9103
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.46742
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.87712
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.5289
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.89914
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9873
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.2911
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.46861
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.87712
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.529
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.89939
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.8872
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;15.9103
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;4.46742
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;4.87712
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;7.5289
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;6.89914
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;17.9873
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.6939
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.48651
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.84805
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.73558
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.8529
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9113
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.6432
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.4592
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.83019
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;8.08704
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.66385
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9299
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;15.9103
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;4.46742
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;4.87712
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;7.5289
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;6.89914
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;17.9873
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.2893
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.45908
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.8028
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.91064
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.90714
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.8211
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;16.1355
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.53748
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.84314
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.96032
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.7759
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;18.2333
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.1865
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.48475
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.91206
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.55058
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.90758
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9248
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.8275
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.49184
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.91206
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.6477
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.91354
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.8611
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;15.1865
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;4.48475
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;4.91206
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;7.55058
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;6.90758
0.4;1.85281e-014;0.2;1.5708;1.50706e-014;1.5708;17.9248
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;15.8049
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.50929
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.94564
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;7.73699
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.88465
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9247
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;16.9815
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.46778
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.86816
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;8.13468
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.60236
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.9207
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;15.1865
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;4.48475
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;4.91206
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;7.55058
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;6.90758
0.4;1.18668e-014;0.2;1.5708;2.17319e-014;1.5708;17.9248
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;17.3138
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.43384
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;4.86094
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;8.3512
0.4;1.18668e-014;0.2;1.5708;1.50706e-014;1.5708;6.90696
