d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;14.3735
0.4;0;0.2;1.5708;0;1.5708;1.80371
0.4;0;0.2;1.5708;0;1.5708;3.7944
0.4;0;0.2;1.5708;0;1.5708;3.33423
0.4;0;0.2;1.5708;0;1.5708;2.61693
0.4;0;0.2;1.5708;0;1.5708;13.7899
0.4;0;0.2;1.5708;0;1.5708;14.3735
0.4;0;0.2;1.5708;0;1.5708;1.80371
0.4;0;0.2;1.5708;0;1.5708;3.7944
0.4;0;0.2;1.5708;0;1.5708;3.33423
0.4;0;0.2;1.5708;0;1.5708;2.61693
0.4;0;0.2;1.5708;0;1.5708;13.7899
0.4;6.66134e-015;0.2;1.5708;0;1.5708;14.3735
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.80371
0.4;6.66134e-015;0.2;1.5708;0;1.5708;3.7944
0.4;6.66134e-015;0.2;1.5708;0;1.5708;3.33423
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.61693
0.4;6.66134e-015;0.2;1.5708;0;1.5708;13.7899
0.4;0;0.2;1.5708;0;1.5708;14.3734
0.4;0;0.2;1.5708;0;1.5708;1.82052
0.4;0;0.2;1.5708;0;1.5708;3.78926
0.4;0;0.2;1.5708;0;1.5708;3.33411
0.4;0;0.2;1.5708;0;1.5708;2.61796
0.4;0;0.2;1.5708;0;1.5708;13.7878
0.4;0;0.2;1.5708;0;1.5708;14.5689
0.4;0;0.2;1.5708;0;1.5708;1.83166
0.4;0;0.2;1.5708;0;1.5708;3.8094
0.4;0;0.2;1.5708;0;1.5708;3.39588
0.4;0;0.2;1.5708;0;1.5708;2.60616
0.4;0;0.2;1.5708;0;1.5708;13.5237
0.4;0;0.2;1.5708;6.66134e-015;1.5708;14.3735
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.80371
0.4;0;0.2;1.5708;6.66134e-015;1.5708;3.7944
0.4;0;0.2;1.5708;6.66134e-015;1.5708;3.33423
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.61693
0.4;0;0.2;1.5708;6.66134e-015;1.5708;13.7899
0.4;0;0.2;1.5708;0;1.5708;14.3197
0.4;0;0.2;1.5708;0;1.5708;1.81649
0.4;0;0.2;1.5708;0;1.5708;3.95771
0.4;0;0.2;1.5708;0;1.5708;3.29221
0.4;0;0.2;1.5708;0;1.5708;2.60254
0.4;0;0.2;1.5708;0;1.5708;12.8746
1523.67;0;0.200002;1.57079;0;1.5708;4.82999
1523.67;0;0.200002;1.57079;0;1.5708;2.86784
1523.67;0;0.200002;1.57079;0;1.5708;2.44941
1523.67;0;0.200002;1.57079;0;1.5708;4.4249
1523.67;0;0.200002;1.57079;0;1.5708;4.29023
1523.67;0;0.200002;1.57079;0;1.5708;12.994
1523.67;0;0.200002;1.57079;0;1.5708;4.30958
1523.67;0;0.200002;1.57079;0;1.5708;2.85065
1523.67;0;0.200002;1.57079;0;1.5708;2.84878
1523.67;0;0.200002;1.57079;0;1.5708;4.10644
1523.67;0;0.200002;1.57079;0;1.5708;4.1983
1523.67;0;0.200002;1.57079;0;1.5708;13.8288
1523.67;6.66134e-015;0.200002;1.57079;0;1.5708;4.82999
1523.67;6.66134e-015;0.200002;1.57079;0;1.5708;2.86784
1523.67;6.66134e-015;0.200002;1.57079;0;1.5708;2.44941
1523.67;6.66134e-015;0.200002;1.57079;0;1.5708;4.4249
1523.67;6.66134e-015;0.200002;1.57079;0;1.5708;4.29023
1523.67;6.66134e-015;0.200002;1.57079;0;1.5708;12.994
