d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;0.896138
0.4;0;0.2;1.5708;0;1.5708;0.51728
0.4;0;0.2;1.5708;0;1.5708;0.475214
0.4;0;0.2;1.5708;0;1.5708;1.3977
0.4;0;0.2;1.5708;0;1.5708;1.63532
0.4;0;0.2;1.5708;0;1.5708;2.13665
0.4;0;0.2;1.5708;0;1.5708;0.896138
0.4;0;0.2;1.5708;0;1.5708;0.51728
0.4;0;0.2;1.5708;0;1.5708;0.475214
0.4;0;0.2;1.5708;0;1.5708;1.3977
0.4;0;0.2;1.5708;0;1.5708;1.63532
0.4;0;0.2;1.5708;0;1.5708;2.13665
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.896138
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.51728
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.475214
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.3977
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.63532
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.13665
0.4;0;0.2;1.5708;0;1.5708;0.896138
0.4;0;0.2;1.5708;0;1.5708;0.51728
0.4;0;0.2;1.5708;0;1.5708;0.475214
0.4;0;0.2;1.5708;0;1.5708;1.3977
0.4;0;0.2;1.5708;0;1.5708;1.63532
0.4;0;0.2;1.5708;0;1.5708;2.13665
0.4;0;0.2;1.5708;0;1.5708;0.896138
0.4;0;0.2;1.5708;0;1.5708;0.517281
0.4;0;0.2;1.5708;0;1.5708;0.475214
0.4;0;0.2;1.5708;0;1.5708;1.3977
0.4;0;0.2;1.5708;0;1.5708;1.63532
0.4;0;0.2;1.5708;0;1.5708;2.13665
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.896138
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.51728
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.475214
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.3977
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.63532
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.13665
0.4;0;0.2;1.5708;0;1.5708;0.896138
0.4;0;0.2;1.5708;0;1.5708;0.51728
0.4;0;0.2;1.5708;0;1.5708;0.475214
0.4;0;0.2;1.5708;0;1.5708;1.3977
0.4;0;0.2;1.5708;0;1.5708;1.63532
0.4;0;0.2;1.5708;0;1.5708;2.13665
-12397.3;0;4.36823;1.46547;0;1.48429;0.895879
-12397.3;0;4.36823;1.46547;0;1.48429;0.51765
-12397.3;0;4.36823;1.46547;0;1.48429;0.47656
-12397.3;0;4.36823;1.46547;0;1.48429;1.40746
-12397.3;0;4.36823;1.46547;0;1.48429;1.62553
-12397.3;0;4.36823;1.46547;0;1.48429;2.13715
-12397.3;0;4.36823;1.46547;0;1.48429;0.8959
-12397.3;0;4.36823;1.46547;0;1.48429;0.51774
-12397.3;0;4.36823;1.46547;0;1.48429;0.476558
-12397.3;0;4.36823;1.46547;0;1.48429;1.40776
-12397.3;0;4.36823;1.46547;0;1.48429;1.62576
-12397.3;0;4.36823;1.46547;0;1.48429;2.13703
-12397.3;6.66134e-015;4.36823;1.46547;0;1.48429;0.895879
-12397.3;6.66134e-015;4.36823;1.46547;0;1.48429;0.51765
-12397.3;6.66134e-015;4.36823;1.46547;0;1.48429;0.47656
-12397.3;6.66134e-015;4.36823;1.46547;0;1.48429;1.40746
-12397.3;6.66134e-015;4.36823;1.46547;0;1.48429;1.62553
-12397.3;6.66134e-015;4.36823;1.46547;0;1.48429;2.13715
