d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;1.79864
0.4;0;0.2;1.5708;0;1.5708;1.19394
0.4;0;0.2;1.5708;0;1.5708;0.462871
0.4;0;0.2;1.5708;0;1.5708;3.88202
0.4;0;0.2;1.5708;0;1.5708;1.21186
0.4;0;0.2;1.5708;0;1.5708;2.04311
0.4;0;0.2;1.5708;0;1.5708;1.79864
0.4;0;0.2;1.5708;0;1.5708;1.19394
0.4;0;0.2;1.5708;0;1.5708;0.462871
0.4;0;0.2;1.5708;0;1.5708;3.88202
0.4;0;0.2;1.5708;0;1.5708;1.21186
0.4;0;0.2;1.5708;0;1.5708;2.04311
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.79864
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.19399
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.462841
0.4;6.66134e-015;0.2;1.5708;0;1.5708;3.88224
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.21178
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.04324
0.4;0;0.2;1.5708;0;1.5708;1.79864
0.4;0;0.2;1.5708;0;1.5708;1.19394
0.4;0;0.2;1.5708;0;1.5708;0.462871
0.4;0;0.2;1.5708;0;1.5708;3.88202
0.4;0;0.2;1.5708;0;1.5708;1.21186
0.4;0;0.2;1.5708;0;1.5708;2.04311
0.4;0;0.2;1.5708;0;1.5708;1.79864
0.4;0;0.2;1.5708;0;1.5708;1.19394
0.4;0;0.2;1.5708;0;1.5708;0.462871
0.4;0;0.2;1.5708;0;1.5708;3.88202
0.4;0;0.2;1.5708;0;1.5708;1.21186
0.4;0;0.2;1.5708;0;1.5708;2.04311
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.79864
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.19399
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.462841
0.4;0;0.2;1.5708;6.66134e-015;1.5708;3.88224
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.21178
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.04324
0.4;0;0.2;1.5708;0;1.5708;1.79864
0.4;0;0.2;1.5708;0;1.5708;1.19399
0.4;0;0.2;1.5708;0;1.5708;0.462841
0.4;0;0.2;1.5708;0;1.5708;3.88224
0.4;0;0.2;1.5708;0;1.5708;1.21178
0.4;0;0.2;1.5708;0;1.5708;2.04311
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77157
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20228
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.458831
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15504
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18435
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01505
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77265
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20193
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.459103
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15459
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18448
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01497
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77157
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20228
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.458831
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15504
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18435
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01505
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77157
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20228
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.458831
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15504
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18443
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01504
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77157
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20229
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.458837
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15507
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18442
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01504
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77157
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20228
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.458831
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15504
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18435
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01505
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.77157
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.20229
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;0.458831
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;3.15507
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;1.18427
7368.27;5.08688e-006;-6.39334;1.78095;-5.08704e-006;1.57418;2.01504
7367.11;5.08688e-006;-6.27957;1.75356;-1.49002e-006;1.58162;1.75708
7367.11;5.08688e-006;-6.27957;1.75356;-1.49002e-006;1.58162;1.18515
7367.11;5.08688e-006;-6.27957;1.75356;-1.49002e-006;1.58162;0.462182
7367.11;5.08688e-006;-6.27957;1.75356;-1.49002e-006;1.58162;3.89439
7367.11;5.08688e-006;-6.27957;1.75356;-1.49002e-006;1.58162;1.22384
7367.11;5.08688e-006;-6.27957;1.75356;-1.49002e-006;1.58162;2.03483
7367.11;5.08688e-006;-6.27957;1.75356;-3.53854e-006;1.58162;1.75688
7367.11;5.08688e-006;-6.27957;1.75356;-3.53854e-006;1.58162;1.18515
7367.11;5.08688e-006;-6.27957;1.75356;-3.53854e-006;1.58162;0.462095
7367.11;5.08688e-006;-6.27957;1.75356;-3.53854e-006;1.58162;3.89481
7367.11;5.08688e-006;-6.27957;1.75356;-3.53854e-006;1.58162;1.22363
7367.11;5.08688e-006;-6.27957;1.75356;-3.53854e-006;1.58162;2.03499
7367.11;5.08688e-006;-6.27957;1.75356;-4.42051e-006;1.58162;1.75688
7367.11;5.08688e-006;-6.27957;1.75356;-4.42051e-006;1.58162;1.1852
7367.11;5.08688e-006;-6.27957;1.75356;-4.42051e-006;1.58162;0.462118
7367.11;5.08688e-006;-6.27957;1.75356;-4.42051e-006;1.58162;3.89437
7367.11;5.08688e-006;-6.27957;1.75356;-4.42051e-006;1.58162;1.22358
7367.11;5.08688e-006;-6.27957;1.75356;-4.42051e-006;1.58162;2.03495
7367.11;5.08688e-006;-6.27957;1.75356;-4.80013e-006;1.58162;1.75686
7367.11;5.08688e-006;-6.27957;1.75356;-4.80013e-006;1.58162;1.18518
7367.11;5.08688e-006;-6.27957;1.75356;-4.80013e-006;1.58162;0.462098
7367.11;5.08688e-006;-6.27957;1.75356;-4.80013e-006;1.58162;3.89451
7367.11;5.08688e-006;-6.27957;1.75356;-4.80013e-006;1.58162;1.22359
7367.11;5.08688e-006;-6.27957;1.75356;-4.80013e-006;1.58162;2.03498
7367.11;5.08688e-006;-6.27957;1.75356;-4.96354e-006;1.58162;1.75687
7367.11;5.08688e-006;-6.27957;1.75356;-4.96354e-006;1.58162;1.18518
7367.11;5.08688e-006;-6.27957;1.75356;-4.96354e-006;1.58162;0.462098
7367.11;5.08688e-006;-6.27957;1.75356;-4.96354e-006;1.58162;3.89451
7367.11;5.08688e-006;-6.27957;1.75356;-4.96354e-006;1.58162;1.22359
7367.11;5.08688e-006;-6.27957;1.75356;-4.96354e-006;1.58162;2.03491
7367.11;5.08688e-006;-6.27957;1.75356;-5.03388e-006;1.58162;1.75686
7367.11;5.08688e-006;-6.27957;1.75356;-5.03388e-006;1.58162;1.1852
7367.11;5.08688e-006;-6.27957;1.75356;-5.03388e-006;1.58162;0.462098
7367.11;5.08688e-006;-6.27957;1.75356;-5.03388e-006;1.58162;3.89449
7367.11;5.08688e-006;-6.27957;1.75356;-5.03388e-006;1.58162;1.22359
7367.11;5.08688e-006;-6.27957;1.75356;-5.03388e-006;1.58162;2.03491
