d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;7.034
0.4;0;0.2;1.5708;0;1.5708;2.2495
0.4;0;0.2;1.5708;0;1.5708;3.62085
0.4;0;0.2;1.5708;0;1.5708;4.43583
0.4;0;0.2;1.5708;0;1.5708;4.91058
0.4;0;0.2;1.5708;0;1.5708;17.9117
0.4;0;0.2;1.5708;0;1.5708;7.034
0.4;0;0.2;1.5708;0;1.5708;2.25766
0.4;0;0.2;1.5708;0;1.5708;3.62044
0.4;0;0.2;1.5708;0;1.5708;4.43704
0.4;0;0.2;1.5708;0;1.5708;4.9212
0.4;0;0.2;1.5708;0;1.5708;17.8059
0.4;6.66134e-015;0.2;1.5708;0;1.5708;7.034
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.2495
0.4;6.66134e-015;0.2;1.5708;0;1.5708;3.62085
0.4;6.66134e-015;0.2;1.5708;0;1.5708;4.43583
0.4;6.66134e-015;0.2;1.5708;0;1.5708;4.91058
0.4;6.66134e-015;0.2;1.5708;0;1.5708;17.9117
0.4;0;0.2;1.5708;0;1.5708;7.034
0.4;0;0.2;1.5708;0;1.5708;2.2495
0.4;0;0.2;1.5708;0;1.5708;3.62085
0.4;0;0.2;1.5708;0;1.5708;4.43583
0.4;0;0.2;1.5708;0;1.5708;4.91058
0.4;0;0.2;1.5708;0;1.5708;17.9117
0.4;0;0.2;1.5708;0;1.5708;6.90248
0.4;0;0.2;1.5708;0;1.5708;1.90843
0.4;0;0.2;1.5708;0;1.5708;3.5799
0.4;0;0.2;1.5708;0;1.5708;4.19146
0.4;0;0.2;1.5708;0;1.5708;4.83729
0.4;0;0.2;1.5708;0;1.5708;17.8008
0.4;0;0.2;1.5708;6.66134e-015;1.5708;7.034
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.2495
0.4;0;0.2;1.5708;6.66134e-015;1.5708;3.62085
0.4;0;0.2;1.5708;6.66134e-015;1.5708;4.43583
0.4;0;0.2;1.5708;6.66134e-015;1.5708;4.91058
0.4;0;0.2;1.5708;6.66134e-015;1.5708;17.9117
0.4;0;0.2;1.5708;0;1.5708;7.15225
0.4;0;0.2;1.5708;0;1.5708;2.22607
0.4;0;0.2;1.5708;0;1.5708;3.6603
0.4;0;0.2;1.5708;0;1.5708;4.33338
0.4;0;0.2;1.5708;0;1.5708;4.89675
0.4;0;0.2;1.5708;0;1.5708;17.5948
0.400007;0;0.2;1.5708;0;1.57079;7.19271
0.400007;0;0.2;1.5708;0;1.57079;2.5143
0.400007;0;0.2;1.5708;0;1.57079;3.70511
