d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;0.414988
0.4;0;0.2;1.5708;0;1.5708;0.246652
0.4;0;0.2;1.5708;0;1.5708;0.325426
0.4;0;0.2;1.5708;0;1.5708;0.403367
0.4;0;0.2;1.5708;0;1.5708;0.80032
0.4;0;0.2;1.5708;0;1.5708;0.488231
0.4;0;0.2;1.5708;0;1.5708;0.414988
0.4;0;0.2;1.5708;0;1.5708;0.246652
0.4;0;0.2;1.5708;0;1.5708;0.325426
0.4;0;0.2;1.5708;0;1.5708;0.403367
0.4;0;0.2;1.5708;0;1.5708;0.80032
0.4;0;0.2;1.5708;0;1.5708;0.488231
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.414988
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.246652
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.325426
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.403367
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.80032
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.488231
0.4;0;0.2;1.5708;0;1.5708;0.414988
0.4;0;0.2;1.5708;0;1.5708;0.246652
0.4;0;0.2;1.5708;0;1.5708;0.325426
0.4;0;0.2;1.5708;0;1.5708;0.403367
0.4;0;0.2;1.5708;0;1.5708;0.80032
0.4;0;0.2;1.5708;0;1.5708;0.488231
0.4;0;0.2;1.5708;0;1.5708;0.414988
0.4;0;0.2;1.5708;0;1.5708;0.246652
0.4;0;0.2;1.5708;0;1.5708;0.325426
0.4;0;0.2;1.5708;0;1.5708;0.403366
0.4;0;0.2;1.5708;0;1.5708;0.80032
0.4;0;0.2;1.5708;0;1.5708;0.488231
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.414988
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.246652
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.325426
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.403367
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.80032
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.488231
0.4;0;0.2;1.5708;0;1.5708;0.414988
0.4;0;0.2;1.5708;0;1.5708;0.246652
0.4;0;0.2;1.5708;0;1.5708;0.325426
0.4;0;0.2;1.5708;0;1.5708;0.403367
0.4;0;0.2;1.5708;0;1.5708;0.80032
0.4;0;0.2;1.5708;0;1.5708;0.488231
2.23379;0;0.2;1.78139;0;1.58873;0.414975
2.23379;0;0.2;1.78139;0;1.58873;0.246682
2.23379;0;0.2;1.78139;0;1.58873;0.325398
2.23379;0;0.2;1.78139;0;1.58873;0.403346
2.23379;0;0.2;1.78139;0;1.58873;0.800202
2.23379;0;0.2;1.78139;0;1.58873;0.488281
2.23379;0;0.2;1.78139;0;1.58873;0.414975
2.23379;0;0.2;1.78139;0;1.58873;0.246682
2.23379;0;0.2;1.78139;0;1.58873;0.325398
2.23379;0;0.2;1.78139;0;1.58873;0.403346
2.23379;0;0.2;1.78139;0;1.58873;0.800202
2.23379;0;0.2;1.78139;0;1.58873;0.488281
2.23379;6.66134e-015;0.2;1.78139;0;1.58873;0.414975
2.23379;6.66134e-015;0.2;1.78139;0;1.58873;0.246682
2.23379;6.66134e-015;0.2;1.78139;0;1.58873;0.325398
2.23379;6.66134e-015;0.2;1.78139;0;1.58873;0.403346
2.23379;6.66134e-015;0.2;1.78139;0;1.58873;0.800202
2.23379;6.66134e-015;0.2;1.78139;0;1.58873;0.488281
2.23379;0;0.2;1.78139;0;1.58873;0.414975
2.23379;0;0.2;1.78139;0;1.58873;0.246682
2.23379;0;0.2;1.78139;0;1.58873;0.325398
2.23379;0;0.2;1.78139;0;1.58873;0.403346
2.23379;0;0.2;1.78139;0;1.58873;0.800202
2.23379;0;0.2;1.78139;0;1.58873;0.488281
2.23379;0;0.2;1.78139;0;1.58873;0.414974
2.23379;0;0.2;1.78139;0;1.58873;0.246681
2.23379;0;0.2;1.78139;0;1.58873;0.325398
2.23379;0;0.2;1.78139;0;1.58873;0.403345
2.23379;0;0.2;1.78139;0;1.58873;0.800201
2.23379;0;0.2;1.78139;0;1.58873;0.488281
2.23379;0;0.2;1.78139;6.66134e-015;1.58873;0.414975
2.23379;0;0.2;1.78139;6.66134e-015;1.58873;0.246682
2.23379;0;0.2;1.78139;6.66134e-015;1.58873;0.325398
2.23379;0;0.2;1.78139;6.66134e-015;1.58873;0.403346
2.23379;0;0.2;1.78139;6.66134e-015;1.58873;0.800202
2.23379;0;0.2;1.78139;6.66134e-015;1.58873;0.488281
2.23379;0;0.2;1.78139;0;1.58873;0.414974
2.23379;0;0.2;1.78139;0;1.58873;0.246681
2.23379;0;0.2;1.78139;0;1.58873;0.325398
2.23379;0;0.2;1.78139;0;1.58873;0.403346
2.23379;0;0.2;1.78139;0;1.58873;0.800201
2.23379;0;0.2;1.78139;0;1.58873;0.488281
2.16958;0;0.20638;1.82344;0;1.61177;0.415032
2.16958;0;0.20638;1.82344;0;1.61177;0.246662
2.16958;0;0.20638;1.82344;0;1.61177;0.32541
2.16958;0;0.20638;1.82344;0;1.61177;0.40335
2.16958;0;0.20638;1.82344;0;1.61177;0.800306
2.16958;0;0.20638;1.82344;0;1.61177;0.488253
2.19734;0;0.204408;1.80345;0;1.60107;0.415029
2.19734;0;0.204408;1.80345;0;1.60107;0.246669
2.19734;0;0.204408;1.80345;0;1.60107;0.325415
2.19734;0;0.204408;1.80345;0;1.60107;0.403354
2.19734;0;0.204408;1.80345;0;1.60107;0.800266
2.19734;0;0.204408;1.80345;0;1.60107;0.488279
2.21522;0;0.202436;1.79234;0;1.59488;0.414997
2.21522;0;0.202436;1.79234;0;1.59488;0.246647
2.21522;0;0.202436;1.79234;0;1.59488;0.325392
2.21522;0;0.202436;1.79234;0;1.59488;0.403313
2.21522;0;0.202436;1.79234;0;1.59488;0.800408
2.21522;0;0.202436;1.79234;0;1.59488;0.48826
2.22372;0;0.201364;1.78727;0;1.59204;0.415009
2.22372;0;0.201364;1.78727;0;1.59204;0.246655
2.22372;0;0.201364;1.78727;0;1.59204;0.325401
2.22372;0;0.201364;1.78727;0;1.59204;0.403315
