d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;0.615803
0.4;0;0.2;1.5708;0;1.5708;0.422676
0.4;0;0.2;1.5708;0;1.5708;0.629522
0.4;0;0.2;1.5708;0;1.5708;0.597433
0.4;0;0.2;1.5708;0;1.5708;1.20312
0.4;0;0.2;1.5708;0;1.5708;0.701155
0.4;0;0.2;1.5708;0;1.5708;0.615803
0.4;0;0.2;1.5708;0;1.5708;0.422676
0.4;0;0.2;1.5708;0;1.5708;0.629522
0.4;0;0.2;1.5708;0;1.5708;0.597433
0.4;0;0.2;1.5708;0;1.5708;1.20312
0.4;0;0.2;1.5708;0;1.5708;0.701155
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.615803
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.422676
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.629522
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.597433
0.4;6.66134e-015;0.2;1.5708;0;1.5708;1.20312
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.701155
0.4;0;0.2;1.5708;0;1.5708;0.615803
0.4;0;0.2;1.5708;0;1.5708;0.422676
0.4;0;0.2;1.5708;0;1.5708;0.629522
0.4;0;0.2;1.5708;0;1.5708;0.597433
0.4;0;0.2;1.5708;0;1.5708;1.20312
0.4;0;0.2;1.5708;0;1.5708;0.701155
0.4;0;0.2;1.5708;0;1.5708;0.615713
0.4;0;0.2;1.5708;0;1.5708;0.422625
0.4;0;0.2;1.5708;0;1.5708;0.6295
0.4;0;0.2;1.5708;0;1.5708;0.597507
0.4;0;0.2;1.5708;0;1.5708;1.20312
0.4;0;0.2;1.5708;0;1.5708;0.70112
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.615803
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.422676
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.629522
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.597433
0.4;0;0.2;1.5708;6.66134e-015;1.5708;1.20312
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.701155
0.4;0;0.2;1.5708;0;1.5708;0.615757
0.4;0;0.2;1.5708;0;1.5708;0.422626
0.4;0;0.2;1.5708;0;1.5708;0.629499
0.4;0;0.2;1.5708;0;1.5708;0.59747
0.4;0;0.2;1.5708;0;1.5708;1.20312
0.4;0;0.2;1.5708;0;1.5708;0.701155
10.5137;0;0.2;1.57126;0;1.57048;0.618461
10.5137;0;0.2;1.57126;0;1.57048;0.422999
10.5137;0;0.2;1.57126;0;1.57048;0.630939
10.5137;0;0.2;1.57126;0;1.57048;0.597321
10.5137;0;0.2;1.57126;0;1.57048;1.2023
10.5137;0;0.2;1.57126;0;1.57048;0.70189
5.2057;0;0.2;1.57094;0;1.57098;0.617639
5.2057;0;0.2;1.57094;0;1.57098;0.42339
5.2057;0;0.2;1.57094;0;1.57098;0.63021
5.2057;0;0.2;1.57094;0;1.57098;0.597972
5.2057;0;0.2;1.57094;0;1.57098;1.2028
5.2057;0;0.2;1.57094;0;1.57098;0.701157
2.92066;0;0.2;1.57089;0;1.57094;0.619608
2.92066;0;0.2;1.57089;0;1.57094;0.423222
2.92066;0;0.2;1.57089;0;1.57094;0.629442
2.92066;0;0.2;1.57089;0;1.57094;0.598733
2.92066;0;0.2;1.57089;0;1.57094;1.20293
2.92066;0;0.2;1.57089;0;1.57094;0.701438
1.61913;0;0.2;1.57085;0;1.57088;0.617535
1.61913;0;0.2;1.57085;0;1.57088;0.423563
1.61913;0;0.2;1.57085;0;1.57088;0.63032
1.61913;0;0.2;1.57085;0;1.57088;0.596661
1.61913;0;0.2;1.57085;0;1.57088;1.20208
1.61913;0;0.2;1.57085;0;1.57088;0.702197
1.04962;0;0.2;1.57083;0;1.57084;0.614417
1.04962;0;0.2;1.57083;0;1.57084;0.42214
1.04962;0;0.2;1.57083;0;1.57084;0.630202
1.04962;0;0.2;1.57083;0;1.57084;0.597182
1.04962;0;0.2;1.57083;0;1.57084;1.2031
1.04962;0;0.2;1.57083;0;1.57084;0.70112
1.04962;0;0.2;1.57083;0;1.57084;0.614417
1.04962;0;0.2;1.57083;0;1.57084;0.42214
1.04962;0;0.2;1.57083;0;1.57084;0.630202
1.04962;0;0.2;1.57083;0;1.57084;0.597182
1.04962;0;0.2;1.57083;0;1.57084;1.2031
1.04962;0;0.2;1.57083;0;1.57084;0.70112
1.04962;6.66134e-015;0.2;1.57083;0;1.57084;0.614417
1.04962;6.66134e-015;0.2;1.57083;0;1.57084;0.42214
1.04962;6.66134e-015;0.2;1.57083;0;1.57084;0.630202
1.04962;6.66134e-015;0.2;1.57083;0;1.57084;0.597182
1.04962;6.66134e-015;0.2;1.57083;0;1.57084;1.2031
1.04962;6.66134e-015;0.2;1.57083;0;1.57084;0.70112
1.04962;0;0.2;1.57083;0;1.57084;0.614417
1.04962;0;0.2;1.57083;0;1.57084;0.42214
1.04962;0;0.2;1.57083;0;1.57084;0.630202
1.04962;0;0.2;1.57083;0;1.57084;0.597182
1.04962;0;0.2;1.57083;0;1.57084;1.2031
1.04962;0;0.2;1.57083;0;1.57084;0.70112
1.04962;0;0.2;1.57083;0;1.57084;0.614416
1.04962;0;0.2;1.57083;0;1.57084;0.42219
1.04962;0;0.2;1.57083;0;1.57084;0.630194
1.04962;0;0.2;1.57083;0;1.57084;0.597143
1.04962;0;0.2;1.57083;0;1.57084;1.2031
1.04962;0;0.2;1.57083;0;1.57084;0.70112
1.04962;0;0.2;1.57083;6.66134e-015;1.57084;0.614417
1.04962;0;0.2;1.57083;6.66134e-015;1.57084;0.42214
1.04962;0;0.2;1.57083;6.66134e-015;1.57084;0.630202
1.04962;0;0.2;1.57083;6.66134e-015;1.57084;0.597182
1.04962;0;0.2;1.57083;6.66134e-015;1.57084;1.2031
1.04962;0;0.2;1.57083;6.66134e-015;1.57084;0.70112
1.04962;0;0.2;1.57083;0;1.57084;0.614417
1.04962;0;0.2;1.57083;0;1.57084;0.422217
1.04962;0;0.2;1.57083;0;1.57084;0.630227
1.04962;0;0.2;1.57083;0;1.57084;0.597143
1.04962;0;0.2;1.57083;0;1.57084;1.2031
1.04962;0;0.2;1.57083;0;1.57084;0.70112
1.12;0;0.211454;1.57083;0;1.57083;0.617932
1.12;0;0.211454;1.57083;0;1.57083;0.422052
1.12;0;0.211454;1.57083;0;1.57083;0.633104
1.12;0;0.211454;1.57083;0;1.57083;0.59679
1.12;0;0.211454;1.57083;0;1.57083;1.2024
1.12;0;0.211454;1.57083;0;1.57083;0.701244
1.08368;0;0.205584;1.57083;0;1.57084;0.618977
1.08368;0;0.205584;1.57083;0;1.57084;0.421939
1.08368;0;0.205584;1.57083;0;1.57084;0.630218
1.08368;0;0.205584;1.57083;0;1.57084;0.598574
1.08368;0;0.205584;1.57083;0;1.57084;1.20269
1.08368;0;0.205584;1.57083;0;1.57084;0.701
1.06484;0;0.202505;1.57083;0;1.57084;0.617903
1.06484;0;0.202505;1.57083;0;1.57084;0.423645
1.06484;0;0.202505;1.57083;0;1.57084;0.631875
1.06484;0;0.202505;1.57083;0;1.57084;0.597712
1.06484;0;0.202505;1.57083;0;1.57084;1.20297
1.06484;0;0.202505;1.57083;0;1.57084;0.700602
1.05523;0;0.200924;1.57083;0;1.57084;0.618744
1.05523;0;0.200924;1.57083;0;1.57084;0.423443
1.05523;0;0.200924;1.57083;0;1.57084;0.630258
1.05523;0;0.200924;1.57083;0;1.57084;0.597297
1.05523;0;0.200924;1.57083;0;1.57084;1.20354
1.05523;0;0.200924;1.57083;0;1.57084;0.700803
1.05103;0;0.200232;1.57083;0;1.57084;0.615403
1.05103;0;0.200232;1.57083;0;1.57084;0.422525
1.05103;0;0.200232;1.57083;0;1.57084;0.630129
1.05103;0;0.200232;1.57083;0;1.57084;0.597296
1.05103;0;0.200232;1.57083;0;1.57084;1.20279
1.05103;0;0.200232;1.57083;0;1.57084;0.701733
1.04999;0;0.20006;1.57083;0;1.57084;0.614416
1.04999;0;0.20006;1.57083;0;1.57084;0.42265
1.04999;0;0.20006;1.57083;0;1.57084;0.630088
1.04999;0;0.20006;1.57083;0;1.57084;0.597469
1.04999;0;0.20006;1.57083;0;1.57084;1.20285
1.04999;0;0.20006;1.57083;0;1.57084;0.701471
1.04971;0;0.200014;1.57083;0;1.57084;0.61434
