x_1;y_1;z_1;phi_1;theta_1;psi_1;x_2;y_2;z_2;phi_2;theta_2;psi_2;d_x;d_y;d_z;d_phi;d_theta;d_psi
0.4365034628;0.7101645192;-0.6376384181;-0.004588517156;-0.08466702643;-2.205607341;-1.428107991;0.6316655804;-0.6714971145;0.0123104744;0.005243668426;-2.206239618;-1.864611454;-0.07849893877;-0.03385869642;0.01689899155;0.08991069486;-0.0006322771495
-1.428151119;0.6317494788;-0.6730139718;0.01230681293;0.00523966175;-2.206239334;-1.428127913;0.6318809192;-0.6747462379;0.0123232561;0.005270718797;-2.206233942;2.320601564e-005;0.000131440441;-0.001732266188;1.644317861e-005;3.105704612e-005;5.392274249e-006
-1.428116662;0.6319853496;-0.6764315558;0.01234488986;0.00527211594;-2.206255685;-1.428231962;0.6319741734;-0.678146699;0.01231897389;0.005224440428;-2.206263216;-0.0001153000461;-1.117621941e-005;-0.001715143217;-2.591596461e-005;-4.767551227e-005;-7.531191238e-006
-1.428261676;0.632038015;-0.6798845588;0.01232690931;0.005224964965;-2.206274554;-1.428180689;0.6321512355;-0.681620359;0.0123320873;0.005239734729;-2.206250497;8.098678338e-005;0.0001132204736;-0.001735800232;5.177988286e-006;1.476976349e-005;2.405689641e-005
-1.4430843;0.6331939774;-0.6914091375;0.01226594496;0.005259571997;-2.206232857;-1.443980552;0.6334704988;-0.693773751;0.0121545094;0.005235907733;-2.206252038;-0.0008962525491;0.000276521329;-0.002364613494;-0.0001114355585;-2.366426457e-005;-1.918061448e-005
-1.444626738;0.633669599;-0.6960338907;0.01214869172;0.005233269326;-2.20627265;-1.445118419;0.6336421467;-0.6987059623;0.01229083246;0.005278884872;-2.206254453;-0.0004916810588;-2.745227944e-005;-0.002672071555;0.000142140738;4.561554595e-005;1.819734861e-005
-1.44554456;0.6336921675;-0.7009665035;0.01243288083;0.005257976717;-2.2062693;-1.446270771;0.6338877184;-0.703631117;0.01244192618;0.00526476974;-2.206306502;-0.0007262105585;0.000195550829;-0.002664613518;9.045344994e-006;6.7930229e-006;-3.720147892e-005
-1.447091664;0.6341236889;-0.7060918717;0.01229276938;0.005261212811;-2.206295637;-1.447828775;0.6343800733;-0.7085552068;0.01218869392;0.005263204395;-2.206329603;-0.0007371111024;0.0002563843268;-0.002463335075;-0.0001040754557;1.991583629e-006;-3.396660805e-005
-1.44838445;0.6345474119;-0.7114480786;0.01225668327;0.005289866254;-2.206307944;-1.448811083;0.6345440131;-0.7140160478;0.01236332066;0.005264756268;-2.20629645;-0.0004266329513;-3.398813455e-006;-0.002567969233;0.000106637388;-2.510998621e-005;1.149398191e-005
-1.458365809;0.6327734012;-0.7179537698;0.01240599303;0.005259452597;-2.20630819;-1.459321781;0.6330173183;-0.7210751948;0.01238767761;0.005298979739;-2.206318583;-0.0009559719657;0.0002439171657;-0.003121424951;-1.831541517e-005;3.952714225e-005;-1.039324541e-005
